name,Abstract,Introduction,Background,Related_Work,Methods,Results,Discussion,Conclusion
Computational Complexity,6.000196251521946,0.6692643569763443,0.948349432765118,0.9932729902960152,1.0526584940785189,0.724568746116359,1.059307865943937,1.143579410136216
Logic in Computer Science,6.264913253191849,0.7212850267317736,0.9142258402282916,0.876736453667412,1.1073153725495615,0.9278798562897448,0.8198820571436864,0.9991712019622973
Information Theory,6.085623980592171,0.6962244797792326,1.0243849471661988,1.0066029968285968,1.5710551792825618,0.8504238111332475,0.852581719195469,0.9763463407955891
Artificial Intelligence,5.492162525636606,0.7707591112215694,1.1651884765672806,0.7740007846170975,0.9768293009808066,0.7611519370989789,0.8239651848242365,1.0196911320526958
Computation and Language,5.687396393029341,0.5889508650679401,0.9265264600440677,0.6118378377332584,0.7350857091744829,0.579528217085226,0.6581406907186163,0.8003468830778465
Computational Geometry,6.1048130043435895,0.6440249819989229,0.862375236703269,0.8288868666098895,0.8566181462555387,0.9157772117812857,1.0952652277322217,1.139194262942525
Machine Learning,5.3494131463026955,0.6926294184055031,1.1538666417806638,0.7565631118491114,1.1761012479874202,0.8259685539539819,0.8370444526557327,1.008409827310504
Data Structures and Algorithms,5.998050008733624,0.6780532066968483,1.0374674244351687,0.9615652016138411,1.0886430477163989,0.9305823461544106,1.0315422936022751,1.2202448974523936
Sound,5.471258449378307,0.5207513869239618,1.0221049548156103,0.6683237809247522,0.7623502196109415,0.5932655924198909,0.7179319343372965,0.7827952671850121
Networking and Internet Architecture,5.881792695980331,0.7439458705820025,0.9646146702857828,0.8489167208383341,1.30045209407261,0.7680297530650617,0.7913630402874526,1.0077901950177142
"Distributed, Parallel, and Cluster Computing",5.715091558721811,0.753026044437836,0.9815881297555434,0.8541493104554645,1.075322253292508,0.8217092320278921,0.8554955001185074,1.0925922997029487
Computer Science and Game Theory,5.952546832131862,0.7331600216514746,1.003593797886211,0.9947297635049838,1.2920625946434032,0.7927070968225418,0.8433002309219695,1.031867400003369
Performance,5.640032641895775,0.7491453851542421,0.9229919560120777,0.8613039210730862,1.1558241201293642,0.7388133800518482,0.8137331117227397,1.0542526219587312
Programming Languages,6.060144075832215,0.7521071447287991,0.9121014943199821,0.7684216488906439,0.8702844168610587,0.833423278393553,0.7633109983187402,0.9909062509291514
Cryptography and Security,5.720561908366761,0.7610545163112193,0.9789784458353086,0.7909891729158594,1.0575762711681083,0.805294001459595,0.7630208152057539,1.0201355378619708
"Computational Engineering, Finance, and Science",5.475363658780947,0.7054794704503168,1.0613710594987589,0.9390809498000341,0.8902426021224753,0.7186718653352994,0.6854531003157258,0.9604215120675108
Neural and Evolutionary Computation,5.413460545136967,0.7264088005537468,1.0230470850603783,0.7283643222988528,0.8530923382923727,0.7153153167398866,0.7603151331864998,0.9721932423066929
Mathematical Software,5.654540362410557,0.8377260264302758,1.0783161861164174,0.7611992476912315,0.9845949834498631,0.8073452673548838,0.9208559253460549,1.0370054065097194
Discrete Mathematics,6.316924555467933,0.6594616236002152,0.8896665468991052,0.9804993710335216,0.917807078457423,0.759751090833031,0.9952799851867139,1.096105499751216
Computer Vision and Pattern Recognition,5.352457265934027,0.5590927639644907,1.130110206656053,0.5611223586407419,0.7461884011666552,0.612372920561074,0.7305435353976079,0.8428240366835105
Software Engineering,5.875264990304136,0.7282907253915287,0.8680941579618837,0.7183380474561348,0.6601056565938199,0.6322190773186004,0.583141856608863,0.8704802251224182
Numerical Analysis,5.639744992627664,0.7047421260418298,1.1179090488941608,0.9134552306457117,1.3306343725197947,0.9205908114485513,0.8686585817298638,1.0554310191561715
Digital Libraries,5.818201494768764,0.6236418258111245,0.7031000541753012,0.6648746499877007,0.6858265980723552,0.5109656749483195,0.5270573290073097,0.7317922223897363
Symbolic Computation,6.20938922000442,0.6769147513106542,0.7691820982628927,0.9818622188774611,0.7885514953208314,0.9094331304506719,0.9329553969349395,1.1154122413013234
Graphics,5.473786464567011,0.7638710993753437,1.1365944776899417,0.6322105972957804,0.8922456514736846,0.7415689865852373,0.7892987926511978,1.070408629570803
Databases,5.652281600410183,0.7683045490665295,1.0435578323108332,0.9057334500005866,1.0807361343369224,0.7856489093134752,0.7840217184419612,1.1483645965632192
Multiagent Systems,5.5534058024977195,0.8640182361247019,1.2595290951928264,0.9781119741876902,1.2038754977715445,0.9233506952357712,0.8116960315061146,1.1597490304229858
Operating Systems,5.693713999425399,0.692412900031027,0.6239383212673046,0.6778042226064036,0.7657422736340207,0.500248599711857,0.5206792481130266,1.1090286764993278
Information Retrieval,5.455468769590115,0.6802775058610955,1.107141876801987,0.7037452201778192,0.7872518818853808,0.670688180831316,0.7292469688410116,0.9200072250897325
Hardware Architecture,5.639414445461502,0.7056412673147824,0.8841160422190095,0.6425791784491734,0.8040624154335914,0.686516918081445,0.6218798128214927,0.9882852731777829
Robotics,5.651050787030051,0.7196241237963791,1.1715987142582698,0.6612447981847294,0.7874363626812212,0.7115310109338137,0.7404306609161488,0.9339946043866206
Computers and Society,5.621821786087268,0.6197871140759811,0.7245279199726975,0.6181291641791427,0.7447162869526176,0.5787366198148648,0.5267544513625075,0.7449536705509852
Human-Computer Interaction,5.4142048710481605,0.6583405222300215,0.825596894679998,0.6829686058397753,0.7580738809743763,0.716055161297427,0.5991813097798464,0.8706549979770025
Multimedia,5.390890502050868,0.6767494076575227,1.0207714063558468,0.6452908274167897,0.9300863813942033,0.7171179371364634,0.8062042067962235,0.9529684803253067
Social and Information Networks,5.696207824891162,0.6484697767678512,1.0622265026359843,0.7207915931211083,0.9517767091798842,0.606443593445678,0.590024205872455,0.8343518223970422
Systems and Control,5.622635587758585,0.8148552904525526,1.2429734726239596,0.8839301569814203,1.5570485965112613,0.9579397452910652,0.8561844001246042,1.1984167764081526
Emerging Technologies,5.666581506427762,0.7447283181583706,1.09091876479456,0.7455027582648159,0.8330873797442145,0.7296442036201676,0.6704030003111273,1.0531118389468979
Formal Languages and Automata Theory,6.395765264489243,0.7218500198191276,0.8899010473110482,0.8246202781067785,1.1015133667871926,0.7804932415407054,0.9674266896556538,1.1533344226844429
