name,Abstract,Introduction,Background,Related_Work,Methods,Results,Discussion,Conclusion
Computational Complexity,1.5059663762144575,0.9383477493308945,1.2464534139515968,1.3131480256716759,1.303237363533391,0.8960002557047356,1.3079340918924465,1.4778278804366503
Logic in Computer Science,1.4537768944112657,1.0051788487198496,1.2672873574800934,1.2552837312541607,1.419447838018081,1.260855910646295,1.2191761800311565,1.3914277037212568
Artificial Intelligence,1.4123764681496078,1.0678613462503932,1.442075050850101,1.1245585500463724,1.216448092700634,1.0099073413179351,1.1063096541135993,1.3580796616224675
Computation and Language,1.0806258334605336,0.7847527009348201,1.0944818238098566,0.7913658428099015,0.9084760013444307,0.7337546968079741,0.8921193849187015,1.0269649004726136
Computational Geometry,1.4638090220281008,0.9457467844459394,1.1504052889004581,1.12323244228692,1.1164109307744812,1.183919327757172,1.3667897408897391,1.5373410178278837
Data Structures and Algorithms,1.5480870852040294,0.9914955774798985,1.3892753588701827,1.2127857646793323,1.263461208923685,1.1601646996993262,1.3942521204521785,1.6425012669732035
Sound,1.0133096925047596,0.7399319658415598,1.0529428644987855,0.847939178608704,0.8603345589041922,0.7543334951950211,0.9222398565073496,1.031100969659728
Networking and Internet Architecture,1.2787672593848003,0.9459543388399771,1.1326672362228638,1.1114563151412853,1.3663651742073444,1.001499458061318,1.04738510225749,1.25203246355917
"Distributed, Parallel, and Cluster Computing",1.4032859293316955,1.005999811625036,1.227651798770488,1.1188787541790806,1.177109952619321,1.038262150238518,1.1258646355091728,1.3558427910417854
Computer Science and Game Theory,1.3518506853521763,0.930460582645485,1.230944589555605,1.2283629444945394,1.4329164175349172,0.9818992635286236,1.0706410552650747,1.3364312849890039
Performance,1.3292485793753175,0.9553754043006475,1.1714141206053192,1.1551210529940423,1.3029156090511014,0.98080128486443,1.0908137290705515,1.2555967890032236
Programming Languages,1.4270740992867619,1.061359816605062,1.2821160860648804,1.1162060947754302,1.1567679472770513,1.1798769955427497,1.0508640497581374,1.366084678651129
Cryptography and Security,1.367699506216423,0.9972700922529181,1.2073886579663498,1.061115765894177,1.190286439392971,1.026006818081673,0.9906209247460527,1.3308192062036315
"Computational Engineering, Finance, and Science",1.2766078253964843,0.8996836474216663,1.342221210653615,1.218937379361128,1.0530353481147023,0.8700023956777294,0.8866910187831203,1.1776499639028086
Neural and Evolutionary Computation,1.263635027145128,0.9663032740558584,1.1825160207121324,0.9132669332380325,1.0227964349119574,0.9227364801218192,0.9771014066047328,1.2005170468062012
Mathematical Software,1.454484477613135,1.0966308028215672,1.3800484983329826,1.0133535843723838,1.1837210771098619,1.0502008539160947,1.1515239121448453,1.3355667123850623
Discrete Mathematics,1.482825068524503,0.9431538491227589,1.2030312686193154,1.3634031726640239,1.0841514621729278,0.9237222579773339,1.3623642006206942,1.465968219031212
Software Engineering,1.3601909490827442,0.9978773303009199,1.1299144433598227,1.0119377668222862,0.9317442386182208,0.8725994428632449,0.8337346322845421,1.2172733862611742
Information Theory,1.3143947176164372,0.8952793830131388,1.25385847055359,1.2879774854404535,1.7595306800308708,1.0599573004959675,1.144387758093807,1.252660982133312
Numerical Analysis,1.3024288708643044,0.8492813907376585,1.2622767893305626,1.1219998662133048,1.366771986620035,1.0166594075363866,1.0548450956089521,1.1905530669928535
Graphics,1.3835553747834723,1.0282895401765926,1.488721487128699,0.8612931506012944,1.0625501891039209,1.0313334493115738,1.0635018298347683,1.3522551922912642
Databases,1.58670224592716,1.0789401747048553,1.3635355602906256,1.27646344317613,1.2831399900022813,1.0702902536706391,1.1742620795992922,1.5183425145860299
Digital Libraries,1.1613001878233231,0.8562365242059561,1.0412523148309925,0.9238944404682128,1.086317823533215,0.6872274851450867,0.7071192012013495,1.020822585082429
Computer Vision and Pattern Recognition,0.9754403525658111,0.720776675491782,1.394211995909501,0.7250858351851661,0.8570514998408367,0.736936967959095,0.945837475457811,1.0684226483354826
Multiagent Systems,1.4544044671205691,1.082606083530683,1.4609403683027353,1.262461305868047,1.3535166884037508,1.106968097830607,1.0418699991994727,1.3805458013905956
Operating Systems,1.3033567272498707,0.8877437193273697,0.8099747500304616,0.9128640241300409,0.97838398551638,0.772686265694866,0.8200957403856128,1.254855926610989
