introduction introduction
conclusion conclusion
related_work related_work
conclusions conclusion
experiments results
acknowledgments back_matter
preliminaries background
acknowledgements back_matter
discussion discussion
results results
acknowledgment back_matter
experimental_results results
background background
system_model methods
proof_of_theorem methods
conclusion_and_future_work conclusion
acknowledgement back_matter
numerical_results results
conclusions_and_future_work conclusion
concluding_remarks conclusion
methods methods
simulation_results results
appendix back_matter
proof_of_lemma methods
methodology methods
evaluation results
problem_formulation background
related_works related_work
method methods
results_and_discussion results,discussion
main_results results
experiments_and_results results
summary conclusion
model methods
proof_of_proposition methods
experimental_evaluation results
experimental_setup methods
proposed_method methods
applications 
future_work conclusion
abstract abstract
implementation methods
numerical_experiments results
experiment results
problem_statement background
approach methods
performance_evaluation results
examples 
simulations results
discussion_and_conclusion discussion,conclusion
analysis results
algorithm methods
proofs methods
motivation introduction,background
background_and_related_work background,related_work
discussion_and_future_work discussion,conclusion
definitions background
discussion_and_conclusions discussion,conclusion
main_result results
materials_and_methods methods
numerical_examples 
data methods
performance_analysis results
proposed_approach methods
conclusion_and_discussion discussion,conclusion
system_model_and_problem_formulation background,methods
references back_matter
dataset methods
problem_definition background
discussions discussion
overview 
algorithms methods
our_approach methods
notation background
previous_work related_work
the_model methods
open_problems conclusion
the_algorithm methods
implementation_details methods
datasets methods
simulation results
final_remarks conclusion
preliminary background
numerical_simulations results
proof_of_theorem_1 methods
literature_review related_work
case_study 
introduction_and_motivation introduction,background
extensions 
summary_and_conclusions conclusion
example 
proof_of_corollary methods
appendix_a back_matter
conclusion_and_outlook conclusion
lower_bounds methods
case_studies 
problem_setup background,methods
theoretical_analysis results
results_and_analysis results
empirical_evaluation results
conclusion_and_future_works conclusion
system_overview methods
results_and_discussions results,discussion
problem_description background
models methods
conclusion_and_open_problems conclusion
supplementary_material back_matter
keywords 
system_description methods
conclusions_and_open_problems conclusion
architecture methods
conclusion_and_perspectives conclusion
introduction_and_related_work introduction,related_work
convergence_analysis results
the_proposed_method methods
empirical_results results
conclusions_and_future_works conclusion
proposed_algorithm methods
conclusions_and_discussion discussion,conclusion
