t1,t2,dist
30_1839322688_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_2067379009_secvec.tree,CHIIR_newick.tree,1.0
30_1653383389_secvec.tree,CHIIR_newick.tree,1.0
30_1643896820_secvec.tree,CHIIR_newick.tree,1.0
30_1046901511_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1074261021_secvec.tree,CHIIR_newick.tree,1.0
30_369096947_secvec.tree,CHIIR_newick.tree,1.0
30_1624808498_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1696870982_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1378497992_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_2055486697_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1816968107_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1096023646_secvec.tree,CHIIR_newick.tree,1.0
30_1376386710_secvec.tree,CHIIR_newick.tree,1.0
30_579278_secvec.tree,CHIIR_newick.tree,1.0
30_702732584_secvec.tree,CHIIR_newick.tree,1.0
30_2066250983_secvec.tree,CHIIR_newick.tree,1.0
30_531008333_secvec.tree,CHIIR_newick.tree,1.0
30_1465740286_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_548837244_secvec.tree,CHIIR_newick.tree,1.0
30_1853116942_secvec.tree,CHIIR_newick.tree,1.0
30_2098043536_secvec.tree,CHIIR_newick.tree,1.0
30_185544668_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1797477660_secvec.tree,CHIIR_newick.tree,1.0
30_461091273_secvec.tree,CHIIR_newick.tree,1.0
30_626052238_secvec.tree,CHIIR_newick.tree,1.0
30_1426269845_secvec.tree,CHIIR_newick.tree,1.0
30_1041509461_secvec.tree,CHIIR_newick.tree,1.0
30_1897489783_secvec.tree,CHIIR_newick.tree,1.0
30_1833663755_secvec.tree,CHIIR_newick.tree,1.0
30_1806371144_secvec.tree,CHIIR_newick.tree,1.0
30_1685477836_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_489134527_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_747725185_secvec.tree,CHIIR_newick.tree,1.0
30_728358691_secvec.tree,CHIIR_newick.tree,1.0
30_2020062623_secvec.tree,CHIIR_newick.tree,1.0
30_609792750_secvec.tree,CHIIR_newick.tree,1.0
30_1428190782_secvec.tree,CHIIR_newick.tree,1.0
30_2127521945_secvec.tree,CHIIR_newick.tree,1.0
30_2009732376_secvec.tree,CHIIR_newick.tree,1.0
30_99937066_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1450044712_secvec.tree,CHIIR_newick.tree,1.0
30_1953010104_secvec.tree,CHIIR_newick.tree,1.0
30_1880527848_secvec.tree,CHIIR_newick.tree,1.0
30_30221048_secvec.tree,CHIIR_newick.tree,1.0
30_1437351593_secvec.tree,CHIIR_newick.tree,1.0
30_1412807502_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1640411453_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_687819289_secvec.tree,CHIIR_newick.tree,1.0
30_847968785_secvec.tree,CHIIR_newick.tree,1.0
30_1620918118_secvec.tree,CHIIR_newick.tree,1.0
30_1732290007_secvec.tree,CHIIR_newick.tree,1.0
30_709349021_secvec.tree,CHIIR_newick.tree,1.0
30_427687889_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_896775889_secvec.tree,CHIIR_newick.tree,1.0
30_864929358_secvec.tree,CHIIR_newick.tree,1.0
30_789760696_secvec.tree,CHIIR_newick.tree,1.0
30_1691390704_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_234160057_secvec.tree,CHIIR_newick.tree,0.9428571428571428
30_104414954_secvec.tree,CHIIR_newick.tree,1.0
30_1447599680_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_231198032_secvec.tree,CHIIR_newick.tree,1.0
30_1630075350_secvec.tree,CHIIR_newick.tree,1.0
30_1244611509_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_118006781_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1186746669_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_825625053_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_602036652_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1755059890_secvec.tree,CHIIR_newick.tree,1.0
30_652249700_secvec.tree,CHIIR_newick.tree,1.0
30_996890811_secvec.tree,CHIIR_newick.tree,1.0
30_824906874_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1549196269_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1577581149_secvec.tree,CHIIR_newick.tree,1.0
30_907993374_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1324189710_secvec.tree,CHIIR_newick.tree,1.0
30_546319482_secvec.tree,CHIIR_newick.tree,1.0
30_1231431319_secvec.tree,CHIIR_newick.tree,1.0
30_880208144_secvec.tree,CHIIR_newick.tree,1.0
30_243151656_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_464428581_secvec.tree,CHIIR_newick.tree,1.0
30_671869867_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1611918707_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_238541278_secvec.tree,CHIIR_newick.tree,1.0
30_1637022250_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_2102614565_secvec.tree,CHIIR_newick.tree,1.0
30_1392754233_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1495428996_secvec.tree,CHIIR_newick.tree,1.0
30_796009967_secvec.tree,CHIIR_newick.tree,1.0
30_748399761_secvec.tree,CHIIR_newick.tree,0.9428571428571428
30_2132827013_secvec.tree,CHIIR_newick.tree,1.0
30_1386869947_secvec.tree,CHIIR_newick.tree,1.0
30_1721333120_secvec.tree,CHIIR_newick.tree,0.9428571428571428
30_1263136342_secvec.tree,CHIIR_newick.tree,0.9714285714285714
30_1523742382_secvec.tree,CHIIR_newick.tree,0.9428571428571428
30_1626349520_secvec.tree,CHIIR_newick.tree,1.0
30_70153581_secvec.tree,CHIIR_newick.tree,1.0
30_339486940_secvec.tree,CHIIR_newick.tree,1.0
30_1506706825_secvec.tree,CHIIR_newick.tree,0.9428571428571428
30_2088536180_secvec.tree,CHIIR_newick.tree,0.9714285714285714
