fn,heading
nlin0103057_0.txt,abstract
cs0103008_0.txt,abstract
math0103107_0.txt,abstract
cs0103015_0.txt,abstract
cs0103010_0.txt,abstract
cs0103013_0.txt,abstract
cs0103021_0.txt,abstract
cs0103020_0.txt,abstract
math0103007_0.txt,abstract
cs0103012_0.txt,abstract
math0103109_0.txt,abstract
cs0103011_0.txt,abstract
cond-mat0103328_0.txt,abstract
cs0103024_0.txt,abstract
cs0103003_0.txt,abstract
cs0103018_0.txt,abstract
cs0103006_0.txt,abstract
cs0103016_0.txt,abstract
cs0103026_0.txt,abstract
cs0103001_0.txt,abstract
cs0103019_0.txt,abstract
cs0103014_0.txt,abstract
math0103011_0.txt,abstract
cs0302025_0.txt,abstract
cs0302012_0.txt,abstract
cs0302001_0.txt,abstract
cs0302022_0.txt,abstract
cs0302020_0.txt,abstract
math0302043_0.txt,abstract
cond-mat0302536_0.txt,abstract
cs0302036_0.txt,abstract
cs0302004_0.txt,abstract
cs0302010_0.txt,abstract
cs0302035_0.txt,abstract
cs0302037_0.txt,abstract
cs0302003_0.txt,abstract
math0302132_0.txt,abstract
physics0302034_0.txt,abstract
cs0302002_0.txt,abstract
cond-mat0302050_0.txt,abstract
cs0302030_0.txt,abstract
cs0302039_0.txt,abstract
cs0302015_0.txt,abstract
cs0302017_0.txt,abstract
cs0302034_0.txt,abstract
cs0302031_0.txt,abstract
math0302172_0.txt,abstract
cs0302027_0.txt,abstract
math0302315_0.txt,abstract
cs0302026_0.txt,abstract
math0302303_0.txt,abstract
quant-ph0302079_0.txt,abstract
math0302154_0.txt,abstract
cs0302038_0.txt,abstract
nlin0303021_0.txt,abstract
cs0303024_0.txt,abstract
cs0303033_0.txt,abstract
cs0303032_0.txt,abstract
cs0303012_0.txt,abstract
cs0303015_0.txt,abstract
cs0303029_0.txt,abstract
quant-ph0303081_0.txt,abstract
cs0303025_0.txt,abstract
cs0303010_0.txt,abstract
cs0303027_0.txt,abstract
math0303254_0.txt,abstract
nlin0303016_0.txt,abstract
math0303104_0.txt,abstract
cs0303014_0.txt,abstract
cs0303016_0.txt,abstract
cs0303031_0.txt,abstract
cs0303022_0.txt,abstract
cs0303004_0.txt,abstract
cs0303005_0.txt,abstract
cs0303009_0.txt,abstract
math0303386_0.txt,abstract
cs0303008_0.txt,abstract
cs0303021_0.txt,abstract
cs0303002_0.txt,abstract
cond-mat0303089_0.txt,abstract
cs0401001_0.txt,abstract
cs0401012_0.txt,abstract
cs0401023_0.txt,abstract
cs0401013_0.txt,abstract
q-bio0401033_0.txt,abstract
math0401083_0.txt,abstract
cs0401008_0.txt,abstract
math0401045_0.txt,abstract
cs0401015_0.txt,abstract
cond-mat0401065_0.txt,abstract
cs0401030_0.txt,abstract
cs0401022_0.txt,abstract
math0401157_0.txt,abstract
quant-ph0401041_0.txt,abstract
cs0401006_0.txt,abstract
cond-mat0401191_0.txt,abstract
cs0401024_0.txt,abstract
cs0401019_0.txt,abstract
math0401279_0.txt,abstract
cs0401003_0.txt,abstract
cs0401028_0.txt,abstract
cs0401010_0.txt,abstract
cs0401017_0.txt,abstract
cond-mat0401229_0.txt,abstract
cs0401004_0.txt,abstract
cs0401018_0.txt,abstract
cs0401020_0.txt,abstract
cs0401021_0.txt,abstract
cs0401011_0.txt,abstract
