pid,kld,category
math0103109,1.1194242339113738,Information Theory
cs0103024,0.656209901763009,Computational Geometry
cs0103019,1.4771080423157954,Computer Science and Game Theory
math0302043,1.4141036036464982,Information Theory
cs0302010,1.4601516758275224,Cryptography and Security
cs0302039,0.8810458007729174,Artificial Intelligence
cs0302031,1.0423256419102875,Computational Geometry
cs0302027,0.28546280179100614,Computational Geometry
cs0302027,0.5781214785518076,Computational Geometry
cs0302027,0.1854331214693751,Computational Geometry
nlin0303021,2.138486665536316,Computational Complexity
cs0303024,1.3444006374770634,Computer Vision and Pattern Recognition
cs0303033,1.1901519438777461,"Distributed, Parallel, and Cluster Computing"
cs0303032,0.9667821623336913,Neural and Evolutionary Computation
cs0303010,1.1752150690155572,"Distributed, Parallel, and Cluster Computing"
math0303104,0.4219054450893238,Information Theory
cs0303016,1.1116215407687704,"Distributed, Parallel, and Cluster Computing"
cs0303004,1.3771589273816722,Numerical Analysis
cs0303009,0.980412932261848,Artificial Intelligence
cs0303021,1.3821681206106482,Logic in Computer Science
cs0401030,0.10504916719831356,Cryptography and Security
cs0401022,1.8855152111148932,Programming Languages
cs0401021,0.5883870622751853,Programming Languages
cs0403016,0.9090667933695638,Programming Languages
cs0403014,1.1800961557396783,Databases
cs0403043,1.0648914124854587,Cryptography and Security
cs0403002,0.09813195768579389,Artificial Intelligence
cs0403011,0.645452701194608,Programming Languages
quant-ph0403140,0.32759437378922174,Computational Complexity
cs0403032,0.18021063278869698,Artificial Intelligence
cs0403039,0.4590156047858655,Computation and Language
cs0403039,2.0797759658637682,Computation and Language
cs0411064,0.8249722402444408,Data Structures and Algorithms
cs0411003,0.6536917169862917,Information Theory
quant-ph0411051,1.3405708440277089,Computational Complexity
cs0411031,2.402831014760075,Logic in Computer Science
cs0411031,1.101653079993805,Logic in Computer Science
cs0411095,0.6758743204673607,"Distributed, Parallel, and Cluster Computing"
cs0411093,0.6742595246244927,Data Structures and Algorithms
math0411138,2.0788054156321283,Discrete Mathematics
quant-ph0411140,1.1827893178059068,Machine Learning
cs0411014,0.9890522181933833,Information Theory
math0411378,0.748027315845754,Computational Complexity
cs0411037,0.22010572995263422,Computational Complexity
cs0504050,0.2781962623988556,Logic in Computer Science
cs0504011,0.22261763830185108,Information Theory
cs0504045,1.7292392836647346,Cryptography and Security
cs0504022,0.1350796095356428,Computation and Language
cs0504036,0.1293998981473468,Information Retrieval
cs0504079,0.45782205631678585,Information Theory
cs0504030,2.0320975187631607,Information Theory
cs0504027,1.5557036941895641,Logic in Computer Science
cs0504099,0.08400425421441637,Information Theory
cs0504085,0.9454693105179525,Information Theory
cs0504062,1.7229849593560744,Computational Complexity
cs0504047,1.696275173568464,Information Theory
cs0504001,0.37898903845875737,Machine Learning
math0504378,0.7441863403816679,Computational Complexity
quant-ph0504007,0.8987921051887615,Logic in Computer Science
cs0504002,0.7566289829578303,Networking and Internet Architecture
cs0504049,0.4187025119081178,Information Theory
quant-ph0511025,0.4456280686434071,Computational Complexity
cs0511008,0.35390575330251983,Performance
cs0511082,0.6080419082978731,Data Structures and Algorithms
quant-ph0511013,0.6802872427524482,Computational Complexity
cs0511026,1.7396357729915477,Information Theory
cs0511019,0.3605929327147288,Information Theory
