pid,kld,category
cs0103006,1.9418789135618946,Sound
cs0103016,0.7969420410078716,Networking and Internet Architecture
cs0103026,0.9264296659977548,Computation and Language
cond-mat0302536,0.38947742516133954,Computational Complexity
cs0302010,1.1844756006788397,Cryptography and Security
cs0302035,0.985685292827358,"Computational Engineering, Finance, and Science"
cs0302035,1.2059622672674122,"Computational Engineering, Finance, and Science"
cs0302002,0.8068876181165054,Neural and Evolutionary Computation
cs0302031,2.7063913517306606,Computational Geometry
cs0303004,1.0105159635467766,Numerical Analysis
cs0303009,0.5699071651126528,Artificial Intelligence
math0303386,0.19097708424945292,Computational Complexity
cs0401022,0.8844852639255641,Programming Languages
cs0401006,1.2285468207450563,"Distributed, Parallel, and Cluster Computing"
cs0401006,1.56602490416442,"Distributed, Parallel, and Cluster Computing"
cs0401021,2.732464247591575,Programming Languages
cs0403014,0.5617651617062004,Databases
cs0411046,0.6573771979785011,"Distributed, Parallel, and Cluster Computing"
cs0411046,0.7924499555461137,"Distributed, Parallel, and Cluster Computing"
cs0411051,0.5590743180481925,Networking and Internet Architecture
cs0411052,0.8631141373398825,Neural and Evolutionary Computation
cs0411026,0.7507134915238275,Information Retrieval
cs0411026,4.933524469357595,Information Retrieval
math0411107,0.6977525984226272,Computational Complexity
cs0411075,1.015365770870628,Hardware Architecture
cs0411090,0.6106063957811453,Networking and Internet Architecture
cs0411090,0.6134083735058875,Networking and Internet Architecture
cs0411072,0.8064750371401874,Artificial Intelligence
cs0504063,0.5599912073398559,Machine Learning
cs0504093,0.8582747838241083,Cryptography and Security
cs0504036,0.970506541050173,Information Retrieval
math0504378,0.689239061106894,Computational Complexity
cs0504012,0.5075251670851533,Cryptography and Security
cs0504006,1.0058875933066111,Information Theory
cs0511080,1.413039113421243,Networking and Internet Architecture
cs0511080,0.4660824266068599,Networking and Internet Architecture
cs0511086,1.867190961419738,Information Theory
cs0511102,0.42649177234137325,Networking and Internet Architecture
nlin0511018,1.8513020614970954,Computational Complexity
cs0511076,0.10824001098060089,Computation and Language
cs0511094,0.9792340522411491,"Distributed, Parallel, and Cluster Computing"
cs0511093,0.6787603072419806,Computer Science and Game Theory
cs0511083,0.5320239614419731,"Distributed, Parallel, and Cluster Computing"
cs0511091,1.3616708450346082,Artificial Intelligence
cs0605015,0.7250821116706796,Computers and Society
cs0605052,1.1239315133446786,Networking and Internet Architecture
cs0605085,1.4573421687686843,Logic in Computer Science
cs0605068,0.904406907324308,Symbolic Computation
cs0605080,0.32909145752356733,Networking and Internet Architecture
astro-ph0605514,1.4974422491643768,Numerical Analysis
nucl-th0605001,0.42821042121492464,Numerical Analysis
cs0605051,0.8255081284042141,Information Theory
cs0605140,0.7438433536429424,Computational Complexity
cs0605030,0.434061620006668,Networking and Internet Architecture
cs0605069,1.2368614254166168,Information Theory
cs0605113,0.3822345231222147,Digital Libraries
1207.3510,2.2484061003817013,Computer Vision and Pattern Recognition
1001.2763,0.11224268685398747,Computational Geometry
1207.3438,1.0984368435999574,Machine Learning
1111.5534,0.2687744167925773,Social and Information Networks
