pid,kld,category
nlin0103057,2.1561838684531907,Computational Complexity
cs0103021,1.8280349627538939,Computational Complexity
cs0103020,0.320014610460657,Artificial Intelligence
cs0103024,0.9636390675384112,Computational Geometry
cs0103018,1.416254461924691,Data Structures and Algorithms
cs0103006,2.0464084905914133,Sound
cs0103016,0.8676893694633577,Networking and Internet Architecture
cs0103026,0.9889199567545099,Computation and Language
cs0103001,2.09023449965337,"Distributed, Parallel, and Cluster Computing"
cs0103019,0.501799336976761,Computer Science and Game Theory
cs0103014,0.6975145816442256,Performance
cs0302020,0.5942081647181312,"Distributed, Parallel, and Cluster Computing"
cond-mat0302536,0.27064527694536766,Computational Complexity
cs0302004,1.137828711887643,Programming Languages
cs0302010,2.1676665670315924,Cryptography and Security
cs0302035,0.924013042808889,"Computational Engineering, Finance, and Science"
cs0302003,0.7376683931598126,Computational Complexity
cs0302002,1.1683547900054783,Neural and Evolutionary Computation
cs0302034,0.578583873440842,"Computational Engineering, Finance, and Science"
cs0302031,0.5186250551060786,Computational Geometry
cs0302027,0.921520127718603,Computational Geometry
math0302315,1.1127710196418144,Data Structures and Algorithms
cs0302026,1.6722091369377157,Mathematical Software
math0302303,2.024217657956671,Discrete Mathematics
quant-ph0302079,0.43316857759253263,Computational Complexity
nlin0303021,0.4011245334516541,Computational Complexity
cs0303032,0.6513941155430963,Neural and Evolutionary Computation
cs0303010,0.6717491081676112,"Distributed, Parallel, and Cluster Computing"
cs0303027,1.2908924023631076,Software Engineering
math0303254,0.29676407365762847,Information Theory
nlin0303016,1.4775645221389833,Computational Complexity
cs0303016,0.8120565538029922,"Distributed, Parallel, and Cluster Computing"
cs0303022,0.12035946236622885,Data Structures and Algorithms
cs0303004,0.591480828296611,Numerical Analysis
cs0303009,1.6685194467375293,Artificial Intelligence
math0303386,0.25982555912623595,Computational Complexity
cs0303021,1.8773702078816066,Logic in Computer Science
cond-mat0303089,0.5180085192022057,"Computational Engineering, Finance, and Science"
cs0401023,1.2330035978164915,Graphics
cs0401008,2.1943872209071715,Mathematical Software
cs0401015,0.3082505351685302,Databases
