pid,kld,category
cs0103026,1.3788706276522689,Computation and Language
cs0303027,1.6820815676279153,Software Engineering
cs0303021,1.1804829918038038,Logic in Computer Science
cs0401021,0.4429355313185015,Programming Languages
cs0411046,1.0992427795761903,"Distributed, Parallel, and Cluster Computing"
cs0411078,1.6658161103243336,Digital Libraries
cs0411010,0.5477362807958092,Cryptography and Security
cs0504063,1.1288343673683707,Machine Learning
cs0504051,1.0189751498009814,"Distributed, Parallel, and Cluster Computing"
cs0504012,1.013613054525323,Cryptography and Security
cs0511102,0.7866858618584726,Networking and Internet Architecture
cs0511012,0.4612110434063865,Networking and Internet Architecture
cs0511093,0.5087596993213934,Computer Science and Game Theory
cs0511043,0.4891628762324607,Cryptography and Security
cs0605126,0.5567030342839148,Data Structures and Algorithms
cs0605085,1.3667886773248616,Logic in Computer Science
cs0605080,0.7830234660883864,Networking and Internet Architecture
cs0605097,1.5127629523743262,Cryptography and Security
0904.2060,1.5043516666256254,Computer Science and Game Theory
0708.3477,0.6360211312367692,Logic in Computer Science
1005.1934,1.1245872826009788,Databases
0911.0753,1.102323678650046,Multiagent Systems
1411.3794,1.0003794309299032,Robotics
1108.5002,0.38578511246436026,Artificial Intelligence
0804.2095,2.706180945048357,Logic in Computer Science
1512.04891,1.1330253693161332,Robotics
0808.1802,1.0089784168709008,"Distributed, Parallel, and Cluster Computing"
0904.1366,1.3450288691200396,Databases
1108.4770,0.598463522672613,Software Engineering
1512.06922,0.5338219157606533,Robotics
1108.5491,2.184847445539371,Information Retrieval
1108.4531,2.097131787822246,Neural and Evolutionary Computation
1411.1108,1.5147030450818648,Robotics
1102.3504,0.6257360288149663,Cryptography and Security
1003.3649,0.9877741253979673,Discrete Mathematics
1405.4054,1.6608704885412784,Computer Vision and Pattern Recognition
1102.4326,0.6563282189375018,Cryptography and Security
0910.5215,0.686575093137705,Networking and Internet Architecture
1102.2819,1.2593825002270735,"Computational Engineering, Finance, and Science"
1102.2831,0.3922497891954712,Computation and Language
1102.2608,1.1473874410386626,"Distributed, Parallel, and Cluster Computing"
1102.4639,0.666776842683365,Social and Information Networks
0910.5380,1.9341648149448432,Discrete Mathematics
0708.1962,1.4136736570926853,Hardware Architecture
1003.3499,1.2908182725388342,Computational Geometry
1009.4259,2.7534026065442014,Software Engineering
1003.3661,1.3397039842458365,Digital Libraries
1009.4386,0.7673353049653702,Networking and Internet Architecture
0911.4513,0.7473970314580438,"Computational Engineering, Finance, and Science"
1403.5919,1.719820043029077,Computer Vision and Pattern Recognition
1006.3039,1.198992559662078,Programming Languages
0807.0993,0.708270851884206,Performance
1005.5114,0.6270804320344495,Artificial Intelligence
0710.1499,2.84974221732867,"Distributed, Parallel, and Cluster Computing"
1009.2282,1.2266503381788822,Networking and Internet Architecture
1009.4877,0.2724158740701806,Robotics
1002.1300,1.8946630506659765,Information Theory
1006.5829,3.3354281114039948,Robotics
0803.2559,1.2343550599264708,Logic in Computer Science
1006.3215,0.5927454480620428,Artificial Intelligence
0911.3600,0.6730099182227733,Databases
1204.6216,0.9328183379430856,Graphics
1203.6136,0.9285847480175112,Computation and Language
0903.2252,0.5138561754245498,Programming Languages
0911.3347,2.8229857637000113,Information Theory
0905.0749,1.147130760241896,Robotics
0911.3581,0.684626495733993,Computers and Society
1002.4561,2.7370679697463167,"Distributed, Parallel, and Cluster Computing"
0710.4975,2.588668985056259,Artificial Intelligence
0803.2392,0.35656480262852097,Information Theory
1002.4314,1.8247939040118886,Networking and Internet Architecture
1006.4959,0.7400280345192705,Robotics
1009.1686,0.36847210873379393,Social and Information Networks
0911.3318,0.6105372680079433,Information Retrieval
1002.4062,1.8786150423648218,"Computational Engineering, Finance, and Science"
0805.4754,1.8880049928434453,Information Retrieval
1009.2230,1.399148694509314,Networking and Internet Architecture
1009.2270,0.7209624673016768,Databases
0903.2353,3.1915966305634242,Programming Languages
1210.1766,0.5876515322130423,Machine Learning
1002.1549,1.924534759176721,Programming Languages
0708.0713,1.7230904468766097,Logic in Computer Science
1006.2718,0.7311335056737656,Artificial Intelligence
1404.6312,0.3613075403905183,Computation and Language
0803.1521,0.7407938915536776,"Distributed, Parallel, and Cluster Computing"
1706.01133,1.1373421524433405,Robotics
1706.01977,0.49214352237644465,Robotics
1006.1408,0.5952703009807345,Logic in Computer Science
1006.5768,0.9923783932327259,Symbolic Computation
0911.2942,0.7575650554802238,Databases
1006.5094,1.2685075599007776,Logic in Computer Science
1009.6144,1.712766606644056,Discrete Mathematics
1009.1132,1.5563480017343605,Multiagent Systems
0806.1918,0.47464894496627963,Computers and Society
1009.2900,1.459834045659057,Programming Languages
1009.4954,0.9314854764317794,Information Theory
1009.3174,0.902270978881587,Programming Languages
0903.0475,1.1531880549977829,Artificial Intelligence
1009.5878,1.9893369988355325,Performance
1404.3959,0.629284781002259,Computers and Society
0709.2618,0.8405803826069255,Networking and Internet Architecture
1209.2400,0.7385203292324113,Computation and Language
1009.5183,1.2286472854460222,Graphics
1401.6571,0.7067601324720052,Computation and Language
1009.5944,1.8307264950087698,Information Theory
0802.1015,1.2733467175569635,Networking and Internet Architecture
1009.3798,0.8284603800272909,Logic in Computer Science
1205.3328,0.755109922787101,Networking and Internet Architecture
1205.6595,0.2208738133246369,Networking and Internet Architecture
1205.6974,1.3685095393890354,Information Theory
1205.6855,0.89369518348589,Information Retrieval
1205.4928,0.8855040373919613,Software Engineering
0901.2310,1.4392363323828776,"Distributed, Parallel, and Cluster Computing"
1205.6024,1.7128813761394073,Social and Information Networks
0901.2461,0.6600162791347786,Programming Languages
1205.6594,1.0549850560927607,Software Engineering
1205.3856,1.0744560760650648,Social and Information Networks
1205.2927,0.4265006142875063,Mathematical Software
1205.3305,0.7751261332406214,Networking and Internet Architecture
1205.3322,1.1938775083037962,Networking and Internet Architecture
1205.2465,2.152929119151351,Databases
1205.1203,0.6480732261881417,Networking and Internet Architecture
1205.1462,2.0359251477970615,Information Theory
