pid,kld,category
cs0103012,1.1945402473553894,Computation and Language
cs0103024,2.152471589592769,Computational Geometry
cs0103006,2.118169491698203,Sound
cs0103016,1.23784347822363,Networking and Internet Architecture
cs0103001,1.0619393887802584,"Distributed, Parallel, and Cluster Computing"
cs0103019,1.7950780256747172,Computer Science and Game Theory
cs0103014,3.476209928144426,Performance
cs0302020,0.9973695055781647,"Distributed, Parallel, and Cluster Computing"
cs0302004,0.6650361707501936,Programming Languages
cs0302010,1.8711751032448827,Cryptography and Security
cs0302035,2.463057408503506,"Computational Engineering, Finance, and Science"
cs0302003,1.8218447036359793,Computational Complexity
cs0302002,0.4378015575617499,Neural and Evolutionary Computation
cs0302002,0.8619979924223888,Neural and Evolutionary Computation
cs0302034,1.1540929349560642,"Computational Engineering, Finance, and Science"
cs0302026,0.9535637042787896,Mathematical Software
nlin0303021,0.9040614981654026,Computational Complexity
cs0303032,2.2665511302377777,Neural and Evolutionary Computation
cs0303027,2.2736403659379114,Software Engineering
math0303254,3.0296136418194908,Information Theory
cs0303016,1.6705803325317816,"Distributed, Parallel, and Cluster Computing"
cs0303005,1.502679022113628,"Distributed, Parallel, and Cluster Computing"
cs0303009,1.0239047577264093,Artificial Intelligence
cond-mat0303089,0.2458118474858291,"Computational Engineering, Finance, and Science"
cond-mat0401191,2.0917309847584153,Computer Science and Game Theory
cs0401020,1.3409436145148346,Neural and Evolutionary Computation
cs0401021,0.7021023211053831,Programming Languages
cs0401011,0.9791722288312492,Data Structures and Algorithms
cond-mat0403341,0.7905781082455585,"Distributed, Parallel, and Cluster Computing"
cond-mat0403725,0.8691184515654677,Computational Complexity
cs0403044,2.292339080820099,Logic in Computer Science
cs0403013,1.7049490602144979,Operating Systems
quant-ph0403056,1.8275194595332047,Computational Complexity
cs0403014,1.1844364847156292,Databases
q-bio0403011,0.6166059157955963,Neural and Evolutionary Computation
cs0403009,2.5952845552328934,Artificial Intelligence
cs0403003,0.9561267737773395,Neural and Evolutionary Computation
cs0403034,1.2860449015276032,Programming Languages
cs0403011,0.9884041075647424,Programming Languages
quant-ph0403069,0.9443513791060223,Cryptography and Security
cs0403032,0.48548490107008546,Artificial Intelligence
quant-ph0403076,1.9876918632760496,Cryptography and Security
cs0403012,3.0925815462242334,Multiagent Systems
