pid,kld,category
cs0103006,1.3887659519687459,Sound
cs0103026,3.295778351208726,Computation and Language
cs0103026,0.8714022845017487,Computation and Language
cs0302004,2.144945721026766,Programming Languages
cs0302010,0.29914832191522805,Cryptography and Security
cs0302010,1.2432471630408857,Cryptography and Security
cs0302010,1.2926995237319678,Cryptography and Security
math0302315,0.572373948653145,Data Structures and Algorithms
math0302315,3.829723986060083,Data Structures and Algorithms
cs0303010,3.020146970917613,"Distributed, Parallel, and Cluster Computing"
cs0303022,1.9120990389901236,Data Structures and Algorithms
cond-mat0303089,0.8207633605979578,"Computational Engineering, Finance, and Science"
cs0401006,0.6447187470973533,"Distributed, Parallel, and Cluster Computing"
cs0401028,0.44697338693587296,Digital Libraries
cs0403037,0.9282401679024923,Data Structures and Algorithms
cs0403014,3.606050873918071,Databases
cs0411081,0.13381813582972607,Networking and Internet Architecture
cs0411051,1.4631087546848138,Networking and Internet Architecture
cs0411026,1.1953107509673,Information Retrieval
math0411107,1.1773008334332982,Computational Complexity
cs0411075,0.07560887754866355,Hardware Architecture
cs0411013,0.5430181346575775,Networking and Internet Architecture
cs0504082,1.5066212300554025,Discrete Mathematics
cs0504088,1.248697133267764,Computational Complexity
cs0504051,0.8465832581609096,"Distributed, Parallel, and Cluster Computing"
cs0504093,0.3130285204003202,Cryptography and Security
cs0504036,0.9606033513488318,Information Retrieval
math0504378,0.48809403714826904,Computational Complexity
cs0504006,1.0640494076095384,Information Theory
q-bio0511045,0.7473754604148495,"Distributed, Parallel, and Cluster Computing"
cs0511092,1.0462783150048498,Programming Languages
cs0511092,0.432448767953433,Programming Languages
cs0511010,0.2724008636898733,Operating Systems
cs0511021,0.5568260761418096,Computer Science and Game Theory
cs0511023,1.6021295848752377,Logic in Computer Science
cs0511043,0.6056480605781013,Cryptography and Security
math0511343,0.6258520915547501,Discrete Mathematics
cs0605110,0.958251120306777,Digital Libraries
cs0605015,1.322947963015488,Computers and Society
cs0605105,1.9080669645323958,Information Theory
cs0605052,2.217993818381252,Networking and Internet Architecture
cs0605107,1.6475204405311707,Logic in Computer Science
cs0605113,0.3337208498354134,Digital Libraries
cs0605039,1.1758421914473578,Hardware Architecture
cs0605039,0.9571526688623114,Hardware Architecture
cond-mat0605190,1.6043831628438936,Data Structures and Algorithms
cs0605096,0.20607558322947123,"Distributed, Parallel, and Cluster Computing"
0808.4079,1.6261925020208352,Computer Science and Game Theory
0904.2060,2.7729745128436782,Computer Science and Game Theory
1111.5417,1.1306965691118895,Social and Information Networks
1001.2763,0.2786221735938272,Computational Geometry
0911.1647,0.7346499802991846,Human-Computer Interaction
1001.2781,1.4885211958914013,Information Theory
1111.6201,0.7864787033198543,Machine Learning
1111.6201,2.024485598970832,Machine Learning
1111.6201,1.7551947955058675,Machine Learning
0708.3477,0.809016455903611,Logic in Computer Science
0707.3231,1.705487709412519,Discrete Mathematics
0707.3248,4.73574262551573,Information Theory
1011.0490,0.24456417197729702,"Computational Engineering, Finance, and Science"
1111.6082,0.13597145117679,Machine Learning
1111.6082,1.2885169408262824,Machine Learning
0707.3175,1.124335665498435,Information Theory
1506.01780,0.3221071177433293,Robotics
0912.1452,1.0378211062734248,Discrete Mathematics
0708.2843,0.7018191283907047,Cryptography and Security
1108.4559,2.0141489943739126,Machine Learning
1108.4559,1.2753490713208804,Machine Learning
1411.3794,1.2738138038713456,Robotics
0710.3185,0.19420529120555718,Artificial Intelligence
1207.0226,0.3304628511328206,"Distributed, Parallel, and Cluster Computing"
1108.5002,0.8262010433535046,Artificial Intelligence
0804.1928,1.2135754738531117,Computers and Society
1108.4386,0.12925662542343064,Neural and Evolutionary Computation
1108.4386,0.06513060486016506,Neural and Evolutionary Computation
1108.5355,0.7279444248960723,Social and Information Networks
