pid,kld,category
nlin0103057,1.9993547822936497,Computational Complexity
cs0103008,0.44828584006757505,Logic in Computer Science
cs0103021,1.2958942772108855,Computational Complexity
cs0103020,0.8019066466193735,Artificial Intelligence
cs0103012,0.7650862521177828,Computation and Language
cond-mat0103328,0.7462876795523895,Computational Complexity
cs0103024,2.299516500321652,Computational Geometry
cs0103018,1.6104880287491863,Data Structures and Algorithms
cs0103006,1.8187664444218117,Sound
cs0103016,1.2885112084467036,Networking and Internet Architecture
cs0103026,1.444781658630029,Computation and Language
cs0103001,0.9542096201386456,"Distributed, Parallel, and Cluster Computing"
cs0103019,1.6743109469379038,Computer Science and Game Theory
cs0103014,1.0227705887295317,Performance
cs0302020,0.8433133376363646,"Distributed, Parallel, and Cluster Computing"
cond-mat0302536,1.9742939059341698,Computational Complexity
cs0302004,1.702788405775276,Programming Languages
cs0302010,1.4600442035347014,Cryptography and Security
cs0302035,0.7005226736280277,"Computational Engineering, Finance, and Science"
cs0302003,0.5560916765101511,Computational Complexity
cs0302002,1.445603594279883,Neural and Evolutionary Computation
cond-mat0302050,0.7720941573640571,"Distributed, Parallel, and Cluster Computing"
cs0302034,1.2010252010386944,"Computational Engineering, Finance, and Science"
cs0302031,1.6327216519684213,Computational Geometry
cs0302027,0.8422857311728407,Computational Geometry
math0302315,1.812737256278277,Data Structures and Algorithms
cs0302026,2.393354455761432,Mathematical Software
math0302303,1.0459080674644485,Discrete Mathematics
quant-ph0302079,2.200829224968854,Computational Complexity
nlin0303021,1.7717466319707615,Computational Complexity
cs0303032,1.550437500427337,Neural and Evolutionary Computation
cs0303010,1.5237535057529565,"Distributed, Parallel, and Cluster Computing"
cs0303027,1.4073726411192786,Software Engineering
math0303254,3.3536011485087633,Information Theory
nlin0303016,1.9444868393939094,Computational Complexity
cs0303014,0.5060002030252728,Networking and Internet Architecture
cs0303016,1.2186238022005664,"Distributed, Parallel, and Cluster Computing"
cs0303031,1.0137028338622239e-05,"Distributed, Parallel, and Cluster Computing"
cs0303022,1.9551310711794232,Data Structures and Algorithms
cs0303004,0.951441211248749,Numerical Analysis
cs0303005,1.7177240247604422,"Distributed, Parallel, and Cluster Computing"
cs0303009,1.421750587012608,Artificial Intelligence
math0303386,1.86306399468735,Computational Complexity
cs0303021,1.2848997835567817,Logic in Computer Science
cs0303002,3.7963644226484496,Computation and Language
cond-mat0303089,1.0746469318713732,"Computational Engineering, Finance, and Science"
cs0401023,2.2440288499566647,Graphics
cs0401008,1.9806608133168297,Mathematical Software
cs0401015,1.57224155037323,Databases
cs0401030,1.0119915186304347,Cryptography and Security
cs0401022,0.5939612227052206,Programming Languages
cs0401006,1.5602326474748207,"Distributed, Parallel, and Cluster Computing"
cond-mat0401191,1.469286135370177,Computer Science and Game Theory
cs0401024,1.3433295742550324,Programming Languages
cs0401028,1.888447159529406,Digital Libraries
cs0401010,1.6749149188269759,Networking and Internet Architecture
cs0401017,1.644273479931417,Computer Vision and Pattern Recognition
cond-mat0401229,0.918402614127967,"Distributed, Parallel, and Cluster Computing"
cs0401020,1.0543841111253436,Neural and Evolutionary Computation
cs0401021,2.058868082443289,Programming Languages
cs0401011,1.4408670759461482,Data Structures and Algorithms
cs0401026,1.8780800372583846,Multiagent Systems
math0403107,1.8139717670845399,Discrete Mathematics
cond-mat0403341,0.4472928468421674,"Distributed, Parallel, and Cluster Computing"
cond-mat0403725,1.4235646173196805,Computational Complexity
cs0403037,2.6435046566172673,Data Structures and Algorithms
cs0403044,1.546628877013003,Logic in Computer Science
cs0403013,1.6081588286899984,Operating Systems
quant-ph0403056,1.0542571819276556,Computational Complexity
cs0403014,2.648210913966002,Databases
q-bio0403011,1.4105435805813393,Neural and Evolutionary Computation
