pid,kld,category
cs0103026,7.418621797462384,Computation and Language
cs0303024,5.58447127819289,Computer Vision and Pattern Recognition
cs0303033,5.1767292623926,"Distributed, Parallel, and Cluster Computing"
cs0303027,5.78222806862268,Software Engineering
cs0303021,5.883870338037601,Logic in Computer Science
cs0401021,6.820730632934279,Programming Languages
cs0403042,9.789508689393653,Networking and Internet Architecture
cs0411027,5.371414103954901,Data Structures and Algorithms
cs0411046,6.033389017763163,"Distributed, Parallel, and Cluster Computing"
cs0411078,7.165900450591221,Digital Libraries
cs0411010,7.16637673282866,Cryptography and Security
cs0504063,5.491119363718183,Machine Learning
cs0504051,5.439819403062577,"Distributed, Parallel, and Cluster Computing"
cs0504099,8.723524407948842,Information Theory
cs0504101,8.388771451189092,Artificial Intelligence
cs0504012,6.044303300790658,Cryptography and Security
cs0511102,6.253790503899699,Networking and Internet Architecture
cs0511011,6.551749167986886,Machine Learning
cs0511012,6.346845292237951,Networking and Internet Architecture
cs0511093,6.690061487492639,Computer Science and Game Theory
cs0511043,7.215934750041027,Cryptography and Security
cs0511007,6.404343060670705,Networking and Internet Architecture
cs0605103,6.161912655608312,Databases
cs0605126,8.798480515248063,Data Structures and Algorithms
cs0605085,7.246298640471749,Logic in Computer Science
cs0605080,7.596192212509964,Networking and Internet Architecture
cs0605109,7.581936819827795,Cryptography and Security
cs0605038,4.761001502327733,Software Engineering
cs0605097,6.754296166151461,Cryptography and Security
0709.2252,5.683902138910633,Networking and Internet Architecture
0709.3461,5.717283164410296,Neural and Evolutionary Computation
0709.4048,6.030933332609659,"Distributed, Parallel, and Cluster Computing"
0709.0446,6.42391397372621,Logic in Computer Science
0709.3034,5.681450483114602,Databases
0709.2618,7.222100769101948,Networking and Internet Architecture
0805.4754,5.123226701142443,Information Retrieval
0805.2785,8.855629459574004,Logic in Computer Science
0805.1877,6.538141340852936,Networking and Internet Architecture
0805.4029,7.9435798593252525,Programming Languages
0805.0162,6.129698775509179,Computational Geometry
0805.3972,5.0587452663573576,Artificial Intelligence
0805.1257,5.103278750130509,"Distributed, Parallel, and Cluster Computing"
0805.2015,6.361334663637801,Logic in Computer Science
0805.3747,7.486092211915338,Artificial Intelligence
0805.3528,5.59544222531108,Information Theory
0805.4648,7.630006482555028,Cryptography and Security
0805.4680,5.9264137765898,Operating Systems
0805.4374,9.483633180106635,Information Theory
0805.0120,5.5092432797983575,Information Retrieval
0805.1886,6.404623098432524,Cryptography and Security
0805.3518,4.049703781910748,Artificial Intelligence
0805.3569,7.723405630966989,Networking and Internet Architecture
0909.3593,7.991865497108782,Machine Learning
0909.0685,4.847373994832915,Databases
0909.0884,5.621966353083776,Software Engineering
0909.2934,4.690914404868455,Machine Learning
0909.3273,8.31769458984098,Artificial Intelligence
0909.3688,4.694730903886642,Cryptography and Security
0909.3717,10.218742438226915,Networking and Internet Architecture
0909.1187,4.165946680467531,"Distributed, Parallel, and Cluster Computing"
0909.4569,5.564397405606548,Computer Science and Game Theory
0909.3080,7.266181179085957,Computers and Society
0909.5146,3.970910999372895,Data Structures and Algorithms
0909.1977,5.666777615629381,Programming Languages
0909.4686,6.508905382482997,Computer Science and Game Theory
0909.3257,8.1606419919263,Computer Science and Game Theory
0909.0572,6.945756346095562,Information Retrieval
0909.4437,7.786489436535209,Artificial Intelligence
0909.4441,8.457104262117516,Artificial Intelligence
0909.1792,6.064107524681651,Networking and Internet Architecture
0909.3445,5.002508898044456,Computation and Language
0909.1590,4.716572895004611,Cryptography and Security
0909.5530,6.930756460174951,Databases
0909.2852,4.092445691790362,Cryptography and Security
0909.3276,8.357730610072167,Artificial Intelligence
0909.4893,8.016277622018782,Data Structures and Algorithms
1002.1718,7.974782570206947,Computer Science and Game Theory
1002.0298,6.817155111161546,Cryptography and Security
1002.1836,5.0703264220024655,Logic in Computer Science
1002.1183,4.4126921455703565,Data Structures and Algorithms
1002.0939,5.324096863297133,"Distributed, Parallel, and Cluster Computing"
1002.1549,6.918026052789205,Programming Languages
