pid,kld,category
cs0103024,2.9910423888512176,Computational Geometry
cs0103019,7.178547289563522,Computer Science and Game Theory
math0302043,6.482316473275151,Information Theory
cs0302010,5.9947022105706615,Cryptography and Security
cs0302039,6.307038230694934,Artificial Intelligence
cs0302031,3.262194794478595,Computational Geometry
cs0302027,4.222985171513535,Computational Geometry
nlin0303021,5.241895788116908,Computational Complexity
cs0303024,4.601934910320145,Computer Vision and Pattern Recognition
cs0303033,6.921961003710635,"Distributed, Parallel, and Cluster Computing"
cs0303032,4.479097328661192,Neural and Evolutionary Computation
cs0303010,7.2740378039947124,"Distributed, Parallel, and Cluster Computing"
1403.2649,3.1877501200918172,Numerical Analysis
1403.1628,9.05906906965776,Discrete Mathematics
1403.2779,6.797082487852951,Information Theory
1403.2433,6.792197156220236,Machine Learning
1403.5598,7.656129231324205,Cryptography and Security
1403.7347,6.513809309771427,Logic in Computer Science
1403.4583,6.367651564929345,Information Theory
1403.7137,5.83748316628217,"Computational Engineering, Finance, and Science"
1403.5729,7.043999085750499,Formal Languages and Automata Theory
1403.0598,7.799585067770883,Machine Learning
1403.5641,5.180901939529427,Systems and Control
1403.7846,8.029209984081946,Information Theory
1403.3616,3.22660349222588,Social and Information Networks
1403.3894,4.736217297869101,Computational Geometry
0706.3350,6.3722110223662645,"Distributed, Parallel, and Cluster Computing"
0706.0692,5.26530435485817,Logic in Computer Science
0706.1399,7.398921761544472,Information Theory
0706.2839,4.166270991403574,Data Structures and Algorithms
0706.0225,7.213888120071858,Information Theory
0706.1751,6.268888033453387,Information Theory
0706.3459,6.593508754789843,Computational Complexity
0706.1665,4.758601994688046,Discrete Mathematics
0706.1001,7.637693213261615,Computer Science and Game Theory
0706.3752,5.871987239806521,Information Theory
0706.2963,7.673301690669593,Information Theory
0706.4015,8.063105041389324,"Distributed, Parallel, and Cluster Computing"
0706.4175,6.825589653613023,Networking and Internet Architecture
0706.0523,5.712622362078789,Logic in Computer Science
0706.1410,4.638339079959158,Numerical Analysis
1807.04235,6.144845166507576,Discrete Mathematics
1702.01209,4.555916215184603,Human-Computer Interaction
1702.06163,6.041660026505477,Computational Geometry
1702.00847,4.61541701623867,Logic in Computer Science
1702.08582,5.848660778267416,Systems and Control
1702.02096,5.261926645208645,Systems and Control
1702.02367,9.196157633115964,Computation and Language
1702.08169,7.4042200044045225,Machine Learning
1702.07694,3.2931004300935838,Information Theory
1702.08726,5.5301733357868486,Software Engineering
1702.08719,4.210900846989539,Cryptography and Security
1702.03375,7.353730053039225,Data Structures and Algorithms
1702.01974,5.855946176080832,Information Theory
1702.01182,4.250079418154751,Machine Learning
1702.01376,6.691520955125072,Information Theory
1702.05272,8.38139893589466,Information Theory
1702.05899,6.619735051544982,Information Theory
1812.02507,7.670090197957742,Computational Complexity
1812.00491,3.5625344615786445,Computer Vision and Pattern Recognition
1812.09504,7.465241104091908,Systems and Control
1812.10576,6.792291505877104,Machine Learning
1812.03131,4.968871728750599,Machine Learning
1812.02500,7.761354629932985,Neural and Evolutionary Computation
1812.07478,8.896387445068068,Machine Learning
1812.11866,8.117999502970722,Robotics
1812.10165,6.511636701453762,Numerical Analysis
1812.02256,4.640292946424064,Machine Learning
1812.04369,3.984876756669119,Machine Learning
1812.04246,6.104851094666629,Computer Vision and Pattern Recognition
1812.06291,5.334936830943975,Networking and Internet Architecture
1812.05566,8.065247388049162,Information Theory
1812.00679,7.8611106327919975,Systems and Control
1812.09460,8.002780020405849,Systems and Control
1812.01852,4.578675438985597,Data Structures and Algorithms
1812.07026,9.606055235964298,Information Theory
1812.00078,6.876289960442915,Software Engineering
1812.03699,5.945106503798422,Machine Learning
1812.09430,6.58177265886616,Machine Learning
1812.00285,3.8466530583112535,Machine Learning
1812.03739,7.80552696886691,Numerical Analysis
1812.06415,6.595406753322677,"Distributed, Parallel, and Cluster Computing"
1306.5815,5.058959869923453,Data Structures and Algorithms
1306.1486,4.697863950384239,Systems and Control
1306.5648,4.679490581943978,Cryptography and Security
1306.0604,7.42740264468883,Machine Learning
1306.4029,4.885781713751177,Computational Complexity
1306.3418,7.139868358787552,Logic in Computer Science
1306.5326,4.940522107186619,Information Theory
1306.3884,6.629931159099304,Artificial Intelligence
1306.6852,5.69829167890056,Artificial Intelligence
1306.6206,4.492813658113727,"Computational Engineering, Finance, and Science"
1306.3819,4.228591098374307,Data Structures and Algorithms
1306.5018,7.362883485813978,Information Theory
1306.2931,4.985261878268683,Data Structures and Algorithms
1306.0969,8.556466894092917,Information Theory
1306.0733,9.622997517748685,Machine Learning
1306.5264,4.979715932173508,Logic in Computer Science
1306.4302,7.383769641767105,Computer Science and Game Theory
1306.0431,6.548651163601665,Discrete Mathematics
1306.2759,6.379998103835445,Machine Learning
1306.1167,5.541380830212426,Data Structures and Algorithms
1802.00695,7.613794598699326,Information Theory
1802.07245,4.466597825502221,Machine Learning
1802.00160,7.2975871260759595,Computational Complexity
1802.04951,7.923087078818134,Information Theory
1802.03415,2.4966567157385406,Computational Geometry
1802.06946,5.810202539276252,Social and Information Networks
1802.10004,4.511650711888783,Data Structures and Algorithms
1802.04162,4.450274263675218,Machine Learning
