pid,kld,category
math0103007,7.670831204242635,Information Theory
math0103109,4.740245017771858,Information Theory
cs0103024,7.134523173911132,Computational Geometry
cs0103019,8.66310178268567,Computer Science and Game Theory
math0302043,6.0616394044646835,Information Theory
cs0302010,6.841996986630658,Cryptography and Security
cs0302039,7.0119621163177195,Artificial Intelligence
cs0302031,6.3810420998551525,Computational Geometry
cs0302027,9.258906623280566,Computational Geometry
nlin0303021,5.239583060694252,Computational Complexity
cs0303024,5.531376886516291,Computer Vision and Pattern Recognition
cs0303033,6.820381832949746,"Distributed, Parallel, and Cluster Computing"
cs0303032,3.430563370564496,Neural and Evolutionary Computation
cs0303010,5.109311992327233,"Distributed, Parallel, and Cluster Computing"
math0303104,4.694089416327842,Information Theory
cs0303016,7.861491463471044,"Distributed, Parallel, and Cluster Computing"
cs0303004,3.0243418464045484,Numerical Analysis
cs0303009,9.959835621600485,Artificial Intelligence
cs0303021,4.512611039835007,Logic in Computer Science
cs0401030,7.378808811805697,Cryptography and Security
cs0401022,4.114653808224866,Programming Languages
cs0401021,4.033240044940491,Programming Languages
cs0403016,4.739261784479849,Programming Languages
cs0403014,5.908922216077068,Databases
cs0403043,5.64461399448793,Cryptography and Security
cs0403002,4.35096428063873,Artificial Intelligence
cs0403011,9.165075139806573,Programming Languages
quant-ph0403140,7.193863662477672,Computational Complexity
cs0403032,5.695900260608496,Artificial Intelligence
cs0403039,2.708918705111573,Computation and Language
cs0411027,4.811067486208515,Data Structures and Algorithms
cs0411064,7.4283645358046595,Data Structures and Algorithms
cs0411003,5.763913790935122,Information Theory
quant-ph0411051,6.431751213941697,Computational Complexity
cs0411031,6.7420629446372615,Logic in Computer Science
cs0411095,5.328400941011332,"Distributed, Parallel, and Cluster Computing"
cs0411093,7.020063977616628,Data Structures and Algorithms
math0411138,5.982035454373803,Discrete Mathematics
quant-ph0411140,7.830800835383703,Machine Learning
cs0411014,4.532278969114837,Information Theory
math0411378,3.949074806665133,Computational Complexity
cs0411037,5.366758552864633,Computational Complexity
cs0504050,7.42643592261661,Logic in Computer Science
cs0504088,5.532064250277893,Computational Complexity
cs0504011,6.276790826409624,Information Theory
cs0504045,4.269498166202399,Cryptography and Security
cs0504022,3.87310263293326,Computation and Language
cs0504036,4.9647610352954255,Information Retrieval
cs0504079,5.4275053202237356,Information Theory
cs0504030,6.2409258770226765,Information Theory
cs0504083,7.334941253689642,Cryptography and Security
cs0504027,4.201373872142352,Logic in Computer Science
cs0504099,8.125768284364714,Information Theory
cs0504085,6.265128188094695,Information Theory
cs0504062,6.382454605827333,Computational Complexity
cs0504047,5.367420164364335,Information Theory
cs0504001,6.56802771683908,Machine Learning
math0504378,5.073325309488595,Computational Complexity
quant-ph0504007,6.385229053080641,Logic in Computer Science
