pid,kld,category
cs0103026,6.307769973460165,Computation and Language
cs0302015,4.764081720918518,Artificial Intelligence
cs0303029,8.52518322734538,Networking and Internet Architecture
cs0303010,7.692830472033315,"Distributed, Parallel, and Cluster Computing"
1403.8006,7.490534150799511,"Distributed, Parallel, and Cluster Computing"
1403.2649,4.196058061195047,Numerical Analysis
1403.2802,6.411312352300477,Computer Vision and Pattern Recognition
1403.5771,5.781555193941028,Information Retrieval
1403.0598,5.107184090340076,Machine Learning
1403.4346,6.044386083178083,Information Theory
1403.5641,4.926494751867493,Systems and Control
1403.3563,4.444598574949354,Cryptography and Security
1403.6870,4.993351848213003,Mathematical Software
0706.2963,7.692753040759802,Information Theory
0706.0430,6.311667849968151,Cryptography and Security
0706.3129,5.8734573788106115,Information Theory
0706.1395,6.48424796224059,Networking and Internet Architecture
1807.01279,3.6880124061226818,Artificial Intelligence
1807.01961,6.567340706952649,Machine Learning
1807.00661,5.4456056455018125,Programming Languages
1807.00267,5.46790832271588,Computation and Language
1702.01209,5.980807108401624,Human-Computer Interaction
1702.08398,5.804219649982222,Machine Learning
1702.06408,6.771879255418432,Computer Vision and Pattern Recognition
1702.05821,5.82061824339466,Computation and Language
1702.01182,5.219969380519941,Machine Learning
1812.01276,7.393946158277621,Information Retrieval
1812.04381,4.367990816437401,Information Theory
1812.11178,6.5150646730996336,Machine Learning
1812.05710,6.305924320359021,Computation and Language
1812.02500,5.74977878026406,Neural and Evolutionary Computation
1812.06869,6.498470739229183,Machine Learning
1812.07238,5.026341926373322,Machine Learning
1812.06857,4.638331833621422,Machine Learning
1812.01068,9.698821778564392,Computer Vision and Pattern Recognition
1812.06638,8.338861054081116,Information Theory
1812.04369,5.268863529215129,Machine Learning
1812.02736,6.113421645225479,Human-Computer Interaction
1812.03366,6.3607418788585095,Systems and Control
1812.04458,6.633680478506544,Neural and Evolutionary Computation
1812.06291,6.074480792026371,Networking and Internet Architecture
1812.05566,7.046347742465825,Information Theory
1812.01195,8.210059071825675,Robotics
1812.09954,6.619597521237058,Machine Learning
1812.09376,3.894470888906212,Artificial Intelligence
1812.09659,5.032320168881504,Machine Learning
1812.09430,7.76880581194327,Machine Learning
1812.07907,8.494605339168109,Computer Vision and Pattern Recognition
1306.3791,4.804262245879801,Information Theory
1306.2801,8.166909313443924,Neural and Evolutionary Computation
1306.1752,7.759415996951933,Human-Computer Interaction
1306.2759,9.095408106094464,Machine Learning
1306.2298,8.503151619298439,Social and Information Networks
1802.08909,6.30715933440336,Computer Vision and Pattern Recognition
1802.00160,7.997743161937276,Computational Complexity
1802.10548,5.66845999070281,Computer Vision and Pattern Recognition
1802.07592,4.222710507805809,Graphics
1802.06691,6.470014582449895,Cryptography and Security
1802.08946,4.975620790259876,Artificial Intelligence
1802.10529,6.482864948641985,Machine Learning
1802.08617,6.186586441877625,Robotics
1802.04434,5.153113042444821,Machine Learning
1802.05668,6.136554185768457,Neural and Evolutionary Computation
1802.07740,5.310304818357978,Artificial Intelligence
1802.00121,6.5241950719307855,Computer Vision and Pattern Recognition
1802.03605,6.511678465863858,Machine Learning
1802.03530,6.995858135698565,Cryptography and Security
1802.08298,3.6125656023727304,Social and Information Networks
1802.09769,7.288320023202577,Machine Learning
1802.05667,5.87457510067289,Computation and Language
1802.10549,5.431153118195726,Machine Learning
1802.03327,5.602132625400779,Computer Vision and Pattern Recognition
1802.04907,4.993616830010242,Machine Learning
1802.04325,3.9598520286686276,Machine Learning
1511.06440,6.596436950469052,Machine Learning
1511.01169,7.697698750099414,Machine Learning
1511.05175,6.378805727788673,Computer Vision and Pattern Recognition
1511.05385,5.760605146549832,Artificial Intelligence
1511.05067,5.553904672240738,Computer Vision and Pattern Recognition
1511.04108,9.662704011378974,Computation and Language
