pid,kld,category
cs0103003,6.527941074262692,Machine Learning
cs0103006,6.0190434501767385,Sound
cs0103026,6.4567098881838945,Computation and Language
cs0302022,7.143882096962957,Data Structures and Algorithms
cs0302004,6.001634348009271,Programming Languages
cs0302010,8.168269840805932,Cryptography and Security
cs0302030,3.4925828214513115,Data Structures and Algorithms
cs0302039,9.110909470422934,Artificial Intelligence
math0302315,5.2187150795682085,Data Structures and Algorithms
cs0302038,7.535166935708452,Artificial Intelligence
cs0303033,3.597493838264437,"Distributed, Parallel, and Cluster Computing"
cs0303029,8.912391506341336,Networking and Internet Architecture
cs0303010,6.383760144095325,"Distributed, Parallel, and Cluster Computing"
cs0303027,5.287781273684628,Software Engineering
1403.5007,7.913692692134128,Networking and Internet Architecture
1403.8006,9.608975365722017,"Distributed, Parallel, and Cluster Computing"
1403.6888,5.813919148844595,Computer Vision and Pattern Recognition
1403.2649,5.38514407028728,Numerical Analysis
1403.6288,9.926668840531558,Computational Complexity
1403.2433,5.012352887465909,Machine Learning
1403.4144,7.040058693691729,Networking and Internet Architecture
1403.2802,8.379377985039083,Computer Vision and Pattern Recognition
1403.7242,4.774572078106036,Social and Information Networks
1403.4583,5.127976636773485,Information Theory
1403.6213,5.6581856616723725,Cryptography and Security
1403.4047,5.698492637209625,Information Theory
1403.1515,8.113856017146619,Discrete Mathematics
1403.4346,8.239742872778141,Information Theory
1403.5641,5.9109867876052835,Systems and Control
1403.5647,5.855598610529484,Machine Learning
1403.2625,10.178400078728915,"Distributed, Parallel, and Cluster Computing"
1403.6870,6.250273731028744,Mathematical Software
1403.3931,4.22801700268312,Information Theory
1403.7846,5.649921203402402,Information Theory
1403.3438,6.68813869920931,Information Theory
1403.3616,6.535569839553383,Social and Information Networks
1403.5996,6.112695646568478,Data Structures and Algorithms
1403.3894,4.026494471850409,Computational Geometry
1403.1412,6.942258080026437,Information Theory
0706.0692,6.955461297222725,Logic in Computer Science
0706.1399,7.995740287751067,Information Theory
0706.0225,7.4228694341548636,Information Theory
0706.1751,7.175295581755257,Information Theory
0706.2434,8.102000198915693,Information Theory
0706.3459,7.947935417271805,Computational Complexity
0706.1665,4.072237033225049,Discrete Mathematics
0706.0430,4.791478192217987,Cryptography and Security
0706.3753,8.40933081166604,Information Theory
0706.3430,10.518046843062669,Information Theory
0706.2906,9.705076745854214,Information Theory
0706.1395,8.628105814283902,Networking and Internet Architecture
1807.01544,6.674827152082704,Computer Vision and Pattern Recognition
1807.00094,5.381713182657638,Computer Vision and Pattern Recognition
1807.01170,6.37960792502218,Information Theory
1807.01961,5.947703288558689,Machine Learning
1807.00267,11.087265526505428,Computation and Language
1702.01209,5.703570764458518,Human-Computer Interaction
1702.08398,6.607486505859773,Machine Learning
1702.07071,8.296808287703147,Computation and Language
1702.07946,9.39935606529491,Networking and Internet Architecture
1702.02999,4.799028903901703,Software Engineering
1702.00847,4.6248067328903515,Logic in Computer Science
1702.01313,7.0836250200114455,Machine Learning
1702.08097,7.065234058335248,Social and Information Networks
1702.02367,9.000002381992434,Computation and Language
1702.01933,6.394444344838046,Computer Vision and Pattern Recognition
1702.04165,6.410245568332147,Machine Learning
1702.03187,7.5564521785170555,Computational Geometry
1702.02283,5.362043820881909,Programming Languages
1702.06404,4.8362002130666895,Artificial Intelligence
1702.05821,4.402777795159266,Computation and Language
1702.08122,7.199333375176384,Networking and Internet Architecture
1702.07836,8.458279745539253,Computer Vision and Pattern Recognition
1702.00205,7.72225855285926,Discrete Mathematics
1702.03375,7.807864539540559,Data Structures and Algorithms
1702.05272,8.157114500248497,Information Theory
1702.06467,7.7031587833894735,Information Retrieval
1702.08558,7.46278597760208,Computer Vision and Pattern Recognition
1702.08303,6.373296377679113,Computation and Language
1702.05899,6.520461034190987,Information Theory
1702.08359,6.6737629647165875,Machine Learning
1812.00509,5.968851415263596,Machine Learning
1812.01276,6.988840079011579,Information Retrieval
1812.02183,5.290631639986731,Machine Learning
1812.06071,7.316957917563349,Computer Vision and Pattern Recognition
1812.07546,8.837314711800923,Computation and Language
1812.00491,5.774070463591611,Computer Vision and Pattern Recognition
1812.06381,11.786418863644395,Neural and Evolutionary Computation
1812.11178,5.28134298334561,Machine Learning
1812.10576,4.539017464622034,Machine Learning
1812.11654,10.187568918976648,Networking and Internet Architecture
1812.01756,6.197552631926449,Computer Vision and Pattern Recognition
1812.07478,7.908989487671162,Machine Learning
1812.05490,6.220700384619206,Computer Vision and Pattern Recognition
1812.10328,8.945477541089698,Computer Vision and Pattern Recognition
1812.04650,6.334818765397081,Machine Learning
1812.11004,9.902505045047311,Computer Vision and Pattern Recognition
1812.06857,8.699298144089955,Machine Learning
1812.11440,10.264133697517613,Computer Vision and Pattern Recognition
1812.02891,8.002026963203631,Computer Vision and Pattern Recognition
