pid,kld,category
cs0103026,7.14968177485154,Computation and Language
cs0303024,4.72200916403672,Computer Vision and Pattern Recognition
cs0303033,5.0613755710646835,"Distributed, Parallel, and Cluster Computing"
cs0303027,6.334233139202541,Software Engineering
1403.5007,4.0207055559872655,Networking and Internet Architecture
1403.2765,3.324543214946272,Programming Languages
1403.8006,6.168170614627043,"Distributed, Parallel, and Cluster Computing"
1403.2802,5.984459763387443,Computer Vision and Pattern Recognition
1403.5771,3.314761355543325,Information Retrieval
1403.7242,4.340835523475774,Social and Information Networks
1403.8028,5.388714807172936,Programming Languages
1403.0598,5.453456677746422,Machine Learning
1403.5996,4.825414493343336,Data Structures and Algorithms
0706.0430,3.4428435786932954,Cryptography and Security
0706.1395,8.32887301757276,Networking and Internet Architecture
0706.0523,6.053906228151074,Logic in Computer Science
1807.01544,4.658380635313418,Computer Vision and Pattern Recognition
1807.00094,5.843545526335822,Computer Vision and Pattern Recognition
1807.00661,5.303719169142325,Programming Languages
1702.01209,3.53556807288236,Human-Computer Interaction
1702.06163,7.94675308064702,Computational Geometry
1702.08398,6.669139570258231,Machine Learning
1702.07544,5.363620820067332,Multiagent Systems
1702.07946,7.035745831651409,Networking and Internet Architecture
1702.02999,3.369679462154714,Software Engineering
1702.08097,7.465151496906871,Social and Information Networks
1702.02367,8.632146578442923,Computation and Language
1702.08835,7.561856749511613,Machine Learning
1702.03033,6.592354381372496,Computation and Language
1702.08726,4.94830257410807,Software Engineering
1702.01933,8.62125617984315,Computer Vision and Pattern Recognition
1702.02283,4.353685253605568,Programming Languages
1702.06404,7.480085300896148,Artificial Intelligence
1702.01711,4.865663876210887,Computation and Language
1702.07836,7.373314997380474,Computer Vision and Pattern Recognition
1702.02516,5.492409709793077,Cryptography and Security
1702.07811,5.315620711951412,Machine Learning
1702.01182,4.786537104516531,Machine Learning
1702.08558,5.371791907573065,Computer Vision and Pattern Recognition
1702.08303,4.174654164810754,Computation and Language
1702.08359,7.099923343893981,Machine Learning
1812.01276,7.053537537089059,Information Retrieval
1812.06071,7.42114822053217,Computer Vision and Pattern Recognition
1812.00491,6.719221102527123,Computer Vision and Pattern Recognition
1812.07520,6.8924140117540045,Machine Learning
1812.06381,5.206022376112231,Neural and Evolutionary Computation
1812.10576,5.955386827175086,Machine Learning
1812.02425,5.213848914963468,Computer Vision and Pattern Recognition
1812.01756,5.677693077460912,Computer Vision and Pattern Recognition
1812.11866,5.661584534604754,Robotics
1812.10328,8.394595880653775,Computer Vision and Pattern Recognition
1812.11004,10.105405715813673,Computer Vision and Pattern Recognition
1812.02891,5.060278586710216,Computer Vision and Pattern Recognition
1812.10735,6.576652562347607,Computation and Language
1812.07741,8.630458885715404,Computer Vision and Pattern Recognition
1812.02122,6.865909980912193,Computer Vision and Pattern Recognition
1812.05637,8.212269326394411,Computer Vision and Pattern Recognition
1812.02256,3.9845202454076802,Machine Learning
1812.04369,7.246081875406589,Machine Learning
1812.04246,6.827245179388729,Computer Vision and Pattern Recognition
1812.08008,6.206513037114904,Computer Vision and Pattern Recognition
1812.11941,6.962224054708233,Computer Vision and Pattern Recognition
1812.06291,5.5942193008588355,Networking and Internet Architecture
1812.00141,5.246167887357267,Social and Information Networks
1812.04377,6.023082742302933,Computer Vision and Pattern Recognition
1812.00679,8.332296515716527,Systems and Control
1812.06177,6.247957337785718,Data Structures and Algorithms
1812.02349,5.674203613292348,Networking and Internet Architecture
1812.00281,6.640005545350602,Computer Vision and Pattern Recognition
1812.00078,5.019993776722322,Software Engineering
1812.09376,5.853978692593818,Artificial Intelligence
1812.09430,5.595602720533863,Machine Learning
1812.10464,9.10939314610893,Computation and Language
1812.00285,4.743537045452453,Machine Learning
1812.09747,6.123978131441544,Machine Learning
1812.11307,7.906119426310436,Computer Vision and Pattern Recognition
1812.07012,6.36152378165189,Hardware Architecture
1812.06415,6.309451937451008,"Distributed, Parallel, and Cluster Computing"
1306.5898,3.3349426293245923,Cryptography and Security
1306.0604,6.633112625372734,Machine Learning
1306.5056,5.666933990946077,Machine Learning
1306.3548,6.401798525862368,Artificial Intelligence
1306.6206,6.342710715339129,"Computational Engineering, Finance, and Science"
1306.0733,4.7701038629294406,Machine Learning
1306.0686,6.46462721438568,Machine Learning
1306.4447,4.813138827599633,Cryptography and Security
1306.6078,4.3267899825128735,Computation and Language
1306.2298,6.470249087902253,Social and Information Networks
1802.02870,2.742222843542508,Computation and Language
1802.01433,5.654893214727423,Computation and Language
1802.07245,4.077939612917684,Machine Learning
1802.07437,9.021164497331284,Computer Vision and Pattern Recognition
1802.09292,6.384677590422147,Robotics
1802.00029,7.114852616809944,Human-Computer Interaction
1802.10548,6.720843407444853,Computer Vision and Pattern Recognition
1802.06946,7.102823009736704,Social and Information Networks
1802.06691,4.93512296765906,Cryptography and Security
1802.01729,8.478242353635784,Social and Information Networks
1802.08946,5.4619152178424875,Artificial Intelligence
1802.08617,7.400653245071713,Robotics
1802.04434,5.093363725213762,Machine Learning
1802.09178,8.871165355187346,Computer Vision and Pattern Recognition
1802.08122,7.2976782816748775,Computer Vision and Pattern Recognition
1802.04028,9.185025218368803,Computation and Language
1802.07842,3.9503224993421675,Artificial Intelligence
1802.10171,7.949426897371021,Computer Vision and Pattern Recognition
1802.10515,5.381716102136196,Machine Learning
1802.00121,7.511492412779376,Computer Vision and Pattern Recognition
1802.10280,8.48222364744092,"Distributed, Parallel, and Cluster Computing"
1802.03605,6.468157625130846,Machine Learning
1802.07239,3.960728660208608,Artificial Intelligence
1802.06901,8.344455415165253,Machine Learning
1802.08831,9.73527459577015,Computer Vision and Pattern Recognition
1802.08250,7.90104902873046,Machine Learning
