pid,kld,category
0911.4416,1.6937024259820843,Computer Vision and Pattern Recognition
0911.4459,1.4368927643602307,Discrete Mathematics
0911.4498,2.4081979429930107,Numerical Analysis
0911.4507,1.8269382983125708,Information Theory
0911.4521,2.95319774365925,Computational Complexity
0911.4522,1.790329086174596,Information Theory
0911.4590,2.2831891361373193,Discrete Mathematics
0911.4626,2.200995780553765,Discrete Mathematics
0911.4640,2.3211656733991703,Information Theory
0911.4650,2.238041941597504,Computer Vision and Pattern Recognition
0911.4704,0.21307586867560888,Information Theory
0911.4729,3.1239998100235473,Discrete Mathematics
0911.4732,3.639852791937118,Discrete Mathematics
0911.4752,2.2292746386682403,Information Theory
0911.4792,2.2239212595939115,Logic in Computer Science
0911.4863,1.6724821147982951,Machine Learning
0911.4880,2.1985587349566234,Information Theory
0911.4896,2.3107350493936516,Information Theory
0911.4963,3.6517141006011777,Discrete Mathematics
0911.4981,1.495426775941825,Data Structures and Algorithms
0911.4983,3.2938845810229815,"Computational Engineering, Finance, and Science"
0911.4984,1.4449787808725867,"Computational Engineering, Finance, and Science"
0911.4985,2.587393021863382,Formal Languages and Automata Theory
0911.4986,3.046745962022387,"Computational Engineering, Finance, and Science"
0704.0062,3.1714977177014934,Data Structures and Algorithms
0911.4987,3.4255143581003193,"Computational Engineering, Finance, and Science"
0704.0213,2.529358630170258,Computational Complexity
0911.5017,1.4412114870056427,Computational Geometry
0911.5046,2.510392265717919,Information Retrieval
0704.0217,2.665942275910128,Information Theory
0911.5086,2.270997157788704,Computational Geometry
0704.0218,1.6948428794849906,Discrete Mathematics
0911.5094,2.722516465781055,Data Structures and Algorithms
0911.5104,2.87127197378216,Artificial Intelligence
0911.5106,2.4066123588107105,Artificial Intelligence
0911.5143,3.3873287232565428,Data Structures and Algorithms
0911.5153,1.5154771280928823,Networking and Internet Architecture
0704.0229,2.1612575803802203,Computational Complexity
0911.5157,2.3776663704326966,Graphics
1208.0395,3.565556863249915,Computational Geometry
0704.0282,3.2523683377345947,Information Theory
1208.0396,4.044658488279963,Data Structures and Algorithms
0911.5230,0.8315013739082415,Cryptography and Security
1208.0402,2.230391889733532,Machine Learning
1208.0412,2.6550446441984183,Networking and Internet Architecture
0911.5246,3.8694161570851153,Logic in Computer Science
1208.0432,3.2827230676727646,Computer Vision and Pattern Recognition
0704.0309,2.584463461852416,Computational Complexity
0911.5258,1.5658734609890188,Discrete Mathematics
0704.0361,2.606811029300412,Information Theory
0911.5262,2.2675747991383797,Computational Complexity
1208.0435,2.2616859410495933,Information Theory
0704.0468,2.5040797030079958,Computational Complexity
0911.5372,1.1785608531480762,Computer Vision and Pattern Recognition
1107.2702,4.086315512880583,Data Structures and Algorithms
0911.5384,1.610447647731658,Data Structures and Algorithms
1208.0505,0.9605503139668137,Performance
0704.0499,2.8951489496810097,Information Theory
1107.2722,1.7892949373430667,Computational Complexity
0911.5462,2.8014735472800334,Computer Vision and Pattern Recognition
1208.0525,2.622744184731457,Performance
1107.2737,4.3593420390549875,Discrete Mathematics
0704.0540,1.7496780137763455,Information Theory
1208.0541,1.6155486420023584,Neural and Evolutionary Computation
0911.5508,2.053957355094322,Information Theory
1107.2757,4.299947930536812,Information Theory
1208.0554,2.3452737480496944,Data Structures and Algorithms
0704.0590,2.9014376022198913,Information Theory
0911.5509,2.2546774294426832,Information Theory
1107.2781,2.928198055165628,Computer Vision and Pattern Recognition
0704.0730,2.081585572193821,Performance
1208.0562,3.7727481382272425,Information Theory
0911.5515,3.2421585752577213,Information Theory
0704.0802,3.399089403349003,Information Theory
1107.2788,2.8742584123212858,Information Theory
1208.0594,2.7782745444848023,Software Engineering
0911.5524,1.7811383925159598,Information Theory
1107.2807,2.5615574093907227,Computer Vision and Pattern Recognition
0704.0805,2.839529279143558,Information Theory
1208.0615,3.8010451074964804,"Distributed, Parallel, and Cluster Computing"
1107.2822,4.478974380013384,Logic in Computer Science
0704.0831,1.8034822153390573,Information Theory
1107.2859,1.9880544342786743,Multimedia
1208.0627,2.263968200667815,Networking and Internet Architecture
0911.5527,2.8555850047465046,Information Theory
1107.2867,2.3677474389539728,Information Theory
0704.0838,3.0809764903129544,Information Theory
0911.5553,0.9032413151324568,Information Theory
1208.0645,2.2346397877625357,Machine Learning
1107.2900,2.4570691048432294,Networking and Internet Architecture
