pid,kld,category
1806.01768,3.636333499784351,Machine Learning
1905.11533,2.3987074819651406,"Computer Vision and Pattern Recognition,Machine Learning"
1710.09805,4.935787136714518,"Machine Learning,Computation and Language"
0904.0643,6.114311939554133,"Artificial Intelligence,Machine Learning"
1606.07493,5.487706652631371,"Computation and Language,Artificial Intelligence,Computer Vision and Pattern Recognition,Machine Learning"
1509.04355,4.503756817818947,Machine Learning
1905.09992,4.126976105704802,"Machine Learning,Data Structures and Algorithms"
1812.01226,3.6831967709074296,Machine Learning
1711.07839,3.690344726513691,Machine Learning
1407.2987,4.295670101584088,"Computer Vision and Pattern Recognition,Artificial Intelligence,Information Retrieval,Machine Learning"
1501.07467,7.791559792659934,"Information Retrieval,Machine Learning"
1309.7119,4.818275827019854,"Computational Engineering, Finance, and Science,Machine Learning"
1406.0193,4.376580922400165,Machine Learning
1602.08151,5.487727256548661,Machine Learning
1802.06181,4.964557357139719,"Computer Vision and Pattern Recognition,Machine Learning"
1204.3968,3.595756051564176,"Computer Vision and Pattern Recognition,Machine Learning,Neural and Evolutionary Computation"
1906.06566,4.44325816901857,Machine Learning
1610.09543,6.072287655036339,"Programming Languages,Machine Learning,Software Engineering"
1902.10952,3.768324574718073,Machine Learning
1304.3345,7.172326826720181,Machine Learning
1907.07676,4.370058114233003,"Computer Vision and Pattern Recognition,Machine Learning"
1810.00821,5.436385781495064,Machine Learning
1709.01434,6.0000655999770895,"Machine Learning,Artificial Intelligence"
1504.07720,4.589511857829314,Machine Learning
1501.03959,5.209944928177049,"Artificial Intelligence,Machine Learning"
1509.06824,4.030793715891008,"Machine Learning,Robotics"
1805.09909,4.443231515264092,Machine Learning
1705.09644,4.392920356430339,"Machine Learning,Artificial Intelligence"
1709.03183,5.830720614111315,"Machine Learning,Social and Information Networks"
1512.03423,5.526054862772404,"Computers and Society,Machine Learning"
1808.06733,5.4329760045597615,Machine Learning
1105.4042,4.694283965604293,Machine Learning
1705.00744,3.3442207961537025,"Computer Vision and Pattern Recognition,Machine Learning"
1806.06068,2.8415676449643423,Machine Learning
1305.2452,5.355711060620481,Machine Learning
1901.08585,6.014616113010001,"Machine Learning,Social and Information Networks"
1506.00327,5.528477144905342,"Machine Learning,Neural and Evolutionary Computation"
1611.01964,4.192500883387936,Machine Learning
1801.05236,4.88938116429966,"Software Engineering,Computers and Society,Machine Learning"
1805.10817,7.008371611202533,"Machine Learning,Artificial Intelligence"
1401.1895,5.339960491556459,Machine Learning
1906.04329,5.738279908278726,"Computation and Language,Machine Learning"
1811.12174,5.755725055660984,"Distributed, Parallel, and Cluster Computing,Machine Learning"
1704.01815,3.8574251746949497,Machine Learning
1904.05902,5.391412308173009,"Artificial Intelligence,Machine Learning"
1601.06683,3.8940805584445775,"Social and Information Networks,Machine Learning"
1608.08614,6.130263146956232,"Computer Vision and Pattern Recognition,Artificial Intelligence,Machine Learning"
1812.07103,5.674032109238393,"Computer Vision and Pattern Recognition,Machine Learning"
1808.07380,5.193386414860043,"Computers and Society,Machine Learning"
1311.2137,4.152614618917626,Machine Learning
1608.02732,4.041490187462274,Machine Learning
1410.0996,7.6716009525521045,Machine Learning
1609.04789,5.403468862764818,Machine Learning
1901.11311,2.9371727829941174,Machine Learning
1903.07054,3.5856142342415427,"Machine Learning,Cryptography and Security"
1807.04239,4.218592803290683,"Machine Learning,Information Theory"
1903.02174,4.585460199218502,"Social and Information Networks,Machine Learning"
1709.06080,5.90907775576473,"Machine Learning,Artificial Intelligence"
1802.04664,4.349638585255328,Machine Learning
1302.5056,4.8243122511648675,"Computer Vision and Pattern Recognition,Machine Learning"
1506.04422,4.356879236258084,Machine Learning
1601.03805,3.2563119076511393,Machine Learning
1904.01631,4.954651901425796,"Distributed, Parallel, and Cluster Computing,Machine Learning"
1605.06421,6.528704269982611,Machine Learning
1811.08425,5.206733521655955,Machine Learning
1809.01452,4.722244435394654,"Computation and Language,Machine Learning"
physics0004057,3.7218731336072537,Machine Learning
1212.3900,5.584931146689687,Machine Learning
1611.05780,4.110252643707183,Machine Learning
1809.02728,6.26800032921725,Machine Learning
1703.03400,5.930378371096202,"Machine Learning,Artificial Intelligence,Computer Vision and Pattern Recognition,Neural and Evolutionary Computation"
