subfield,acc
AI,0.13155339805825242
AR,0.1326530612244898
CC,0.2914409534127844
CE,0.09714285714285714
CG,0.35489833641404805
CL,0.4651860744297719
CR,0.3870967741935484
CV,0.5816857440166493
CY,0.06302521008403361
DB,0.19382022471910113
DC,0.23956262425447317
DL,0.33816425120772947
DM,0.29256965944272445
DS,0.30864928909952605
ET,0.31125827814569534
FL,0.2857142857142857
GL,0.0
GR,0.02185792349726776
GT,0.37300435413642963
HC,0.15492957746478872
IR,0.12935323383084577
IT,0.6852543163789081
LG,0.34510398613518195
LO,0.3932135728542914
MA,0.02694610778443114
MM,0.05263157894736842
MS,0.0
NA,0.19900497512437812
NE,0.1390644753476612
NI,0.34094256259204714
OH,0.0
OS,0.08888888888888889
PF,0.07373271889400922
PL,0.17933130699088146
RO,0.34050179211469533
SC,0.3225806451612903
SD,0.2727272727272727
SE,0.3333333333333333
SI,0.4646758922068463
SY,0.4493783303730018
