name,Abstract,Introduction,Background,Related Work,Methods,Results,Discussion,Conclusion
Computational Complexity,5.337063911451268,6.228097294432227,6.073254713718511,6.2332179913417916,6.326247971052807,6.253842972664575,5.5612854577356,5.648592172146596
Logic in Computer Science,5.268271080738836,5.746915631108905,5.754353367657899,5.859856146214447,5.7200664199426425,5.946714400874225,5.457742796884637,5.572591532715895
Information Theory,5.978218398366152,6.8988534561748756,6.4915203001152095,6.557603719631804,7.027634378561626,7.128477721779223,6.601615145738683,6.232155106719995
Artificial Intelligence,5.381881661819357,6.145409049418534,5.755029835920835,6.3869898201869715,6.414650542935804,6.774707378827692,5.920740921122534,5.553151156021435
Computation and Language,5.628451925445727,6.508910408080479,6.259173357704685,6.662202318190356,6.912555134329106,7.074719692614708,6.02794214708418,5.694644973420955
Computational Geometry,5.661491023176482,6.83249998915032,6.620858569165915,6.372501870087595,6.6650621970401644,6.363698006280805,5.850122004695848,5.8178136314957705
Machine Learning,5.758265148389744,6.852525261818971,6.096939804283571,6.669784316259336,6.657499057793514,7.118183997155118,6.258167894578861,5.802080771253448
Data Structures and Algorithms,5.727161151511113,6.891077792539809,6.516622208116355,6.240001340500845,6.724815208258904,6.568340197090591,5.848914614666118,5.714860570461991
Sound,6.106938709681147,7.079020156967616,6.538217991562971,6.866795698861866,7.191641993055468,7.202489418435084,6.865069107166248,6.0773970999987865
Networking and Internet Architecture,5.979479320630034,6.886408747925562,6.737234885485212,6.77644246193275,6.962483525168607,7.19418855233666,6.731786292774217,6.062864870380027
"Distributed, Parallel, and Cluster Computing",5.658844934193802,6.6490680949128524,6.430700314282836,6.134657723818074,6.5127936648781075,6.753557633257902,5.843162940678974,5.790161103376576
Computer Science and Game Theory,5.704643831693637,6.6142589327385135,6.450055813981405,6.513118949558626,6.615066724399893,6.310410657655339,6.00448339478314,5.862317296942544
Performance,5.807547709575335,6.734128738355523,6.707194904247844,6.177268316356935,6.761366275286074,6.933222609530628,6.223956003637529,6.075099331323369
Programming Languages,5.290108423388707,5.578695651045222,5.626008116541534,5.782697134966371,5.908922533955444,5.974935273323403,5.55003692657241,5.493288955356851
Cryptography and Security,5.419683470716806,6.21249318392464,6.001374729901711,6.161005483771821,6.216317474424655,6.510672664711501,5.96911644660563,5.628542112086712
"Computational Engineering, Finance, and Science",5.3342327450688485,5.840787248602189,5.979466060151565,5.834399206230611,6.183903067314329,6.302970832939377,6.146351420792385,5.736505717023015
Neural and Evolutionary Computation,5.6433332848371975,6.391645250450729,5.9809500768303065,6.549114819626255,6.531541262724449,6.592766160661593,5.988719254902431,5.681062069370619
Mathematical Software,5.388708579835148,5.814371964275843,5.793392716722103,5.378619668390764,5.817180350258644,6.526075549459581,5.736664261938059,5.633060449554164
Discrete Mathematics,5.8134705630014745,6.865004915531608,6.597910512089798,6.171971507501554,7.05553781076095,6.838890656035475,5.821046403330764,5.9687482406576775
Computer Vision and Pattern Recognition,6.295476367224858,7.49152919792857,6.669850191742356,7.289083400302772,7.483947692242792,7.673382807246887,6.683921792100914,6.10504007624536
Software Engineering,5.498412214476294,6.064209382887491,6.166196214833242,6.183944574808894,6.436833747721079,6.63366530695567,6.211300919843374,5.634648064762713
