pid,kld,category
cs0103010,1.2713008505150787,Computation and Language
cs0103013,1.7793132955241153,Computation and Language
cs0103021,1.495889742939436,Computational Complexity
cs0103011,1.290175299578187,Computation and Language
cond-mat0103328,0.7135978415535359,Computational Complexity
cs0103006,1.999542403684881,Sound
cs0103014,2.5092354452647525,Performance
cs0302025,1.4786345732407087,Computational Complexity
cs0302022,1.489124197674425,Data Structures and Algorithms
cond-mat0302536,2.168377697798991,Computational Complexity
cs0302036,1.3400409208739092,Artificial Intelligence
cs0302004,2.4877877450918304,Programming Languages
cs0302010,2.942114770616205,Cryptography and Security
cs0302035,1.3339205370223108,"Computational Engineering, Finance, and Science"
cs0302037,0.5445303889051178,Cryptography and Security
cs0302003,1.0848913042236743,Computational Complexity
physics0302034,2.8277658376302917,Data Structures and Algorithms
cs0302002,2.2241837569741656,Neural and Evolutionary Computation
cond-mat0302050,0.7030561629425836,"Distributed, Parallel, and Cluster Computing"
cs0302017,2.528867239322226,Networking and Internet Architecture
cs0302034,1.2840702038658514,"Computational Engineering, Finance, and Science"
cs0302031,2.3727549548803957,Computational Geometry
cs0302027,1.6418223504468825,Computational Geometry
cs0302026,1.2908289812197804,Mathematical Software
math0302303,1.5893461061328646,Discrete Mathematics
quant-ph0302079,2.579104141771422,Computational Complexity
cs0303033,2.6619287630361077,"Distributed, Parallel, and Cluster Computing"
cs0303032,2.942302817522423,Neural and Evolutionary Computation
cs0303012,4.01564749318491,Networking and Internet Architecture
quant-ph0303081,2.8531732093995212,Data Structures and Algorithms
cs0303027,1.9038514034060634,Software Engineering
nlin0303016,1.7755600916338097,Computational Complexity
math0303104,2.871770289248035,Information Theory
cs0303004,1.0854094029855388,Numerical Analysis
cs0303005,2.08073349961888,"Distributed, Parallel, and Cluster Computing"
cs0303009,2.8019128713334736,Artificial Intelligence
math0303386,1.498576922309498,Computational Complexity
cond-mat0303089,0.5371850574874077,"Computational Engineering, Finance, and Science"
cs0401001,1.298841120667446,Digital Libraries
cs0401023,2.3565698593525486,Graphics
cs0401008,1.5761721459048734,Mathematical Software
cs0401015,1.3942689165472462,Databases
cs0401030,2.8845918582049324,Cryptography and Security
cs0401022,1.8536495013166543,Programming Languages
cs0401006,1.9453930060827334,"Distributed, Parallel, and Cluster Computing"
cond-mat0401191,1.69370523094343,Computer Science and Game Theory
cs0401024,1.112741678583427,Programming Languages
cs0401028,2.8708300271888714,Digital Libraries
cs0401010,2.8611957349278425,Networking and Internet Architecture
cond-mat0401229,0.8869341744907145,"Distributed, Parallel, and Cluster Computing"
cs0401020,1.294013840367046,Neural and Evolutionary Computation
cs0401021,1.477352689302505,Programming Languages
cs0401026,2.0691911603306585,Multiagent Systems
math0403107,1.451974749430782,Discrete Mathematics
cs0403040,1.4986106614370605,Discrete Mathematics
cond-mat0403341,0.9004046304872295,"Distributed, Parallel, and Cluster Computing"
cond-mat0403725,1.121758799429022,Computational Complexity
cs0403037,2.599442371557705,Data Structures and Algorithms
cs0403016,1.3588632791986917,Programming Languages
cs0403044,1.7752567507347161,Logic in Computer Science
cs0403013,2.732339391134102,Operating Systems
quant-ph0403056,1.3327203306759638,Computational Complexity
cs0403014,2.552291892307044,Databases
q-bio0403011,1.1290997119953563,Neural and Evolutionary Computation
cs0403009,1.2959118336754771,Artificial Intelligence
cs0403043,0.8701159803281543,Cryptography and Security
q-bio0403022,1.4646609944397004,Artificial Intelligence
cs0403024,0.8215933365054482,Computer Science and Game Theory
cs0403003,8.568562459916674,Neural and Evolutionary Computation
cs0403034,7.949625078863467,Programming Languages
math0403017,4.835290736903088,Discrete Mathematics
cs0403041,4.248026086459431,Logic in Computer Science
cs0403011,8.078465881267958,Programming Languages
quant-ph0403069,6.024135969945397,Cryptography and Security
cond-mat0403453,7.100995017626691,Data Structures and Algorithms
