pid,kld,category
nlin0103057,1.9930773654739848,Computational Complexity
cs0103008,0.6516637816592717,Logic in Computer Science
cs0103021,1.2382890641547644,Computational Complexity
cs0103020,1.038536506355271,Artificial Intelligence
cs0103012,1.1617662864340155,Computation and Language
cond-mat0103328,0.8058923084039636,Computational Complexity
cs0103024,1.6042843692279474,Computational Geometry
cs0103018,1.6115351959582502,Data Structures and Algorithms
cs0103006,1.871682253650194,Sound
cs0103016,1.4421884793815787,Networking and Internet Architecture
cs0103026,1.6738739571230665,Computation and Language
cs0103001,2.0006070149640642,"Distributed, Parallel, and Cluster Computing"
cs0103019,1.6608174367808806,Computer Science and Game Theory
cs0103014,0.874759300063528,Performance
cs0302020,1.207283669187889,"Distributed, Parallel, and Cluster Computing"
cond-mat0302536,1.3531302112944745,Computational Complexity
cs0302004,1.9787348495788322,Programming Languages
cs0302010,2.3295097058222662,Cryptography and Security
cs0302035,0.9249306683287033,"Computational Engineering, Finance, and Science"
cs0302003,0.958244577700905,Computational Complexity
cs0302002,1.7575310316990505,Neural and Evolutionary Computation
cond-mat0302050,1.0524716171217257,"Distributed, Parallel, and Cluster Computing"
cs0302034,1.433384227025578,"Computational Engineering, Finance, and Science"
cs0302031,1.9450782778755515,Computational Geometry
cs0302027,0.7989591214526948,Computational Geometry
math0302315,2.3575465604320662,Data Structures and Algorithms
cs0302026,1.6249186165628204,Mathematical Software
math0302303,1.0519903206703,Discrete Mathematics
quant-ph0302079,1.8330244859926415,Computational Complexity
nlin0303021,1.182191486340321,Computational Complexity
cs0303032,1.3431604219404267,Neural and Evolutionary Computation
cs0303010,2.2849528053906196,"Distributed, Parallel, and Cluster Computing"
cs0303027,1.7770191986668775,Software Engineering
math0303254,3.0820416441596343,Information Theory
nlin0303016,1.911661897348906,Computational Complexity
cs0303014,1.2937864498284108,Networking and Internet Architecture
cs0303016,1.4838692315890933,"Distributed, Parallel, and Cluster Computing"
cs0303031,0.03174432661807789,"Distributed, Parallel, and Cluster Computing"
cs0303022,1.2340395074314645,Data Structures and Algorithms
cs0303004,1.3385251433864314,Numerical Analysis
cs0303005,1.7813959839510076,"Distributed, Parallel, and Cluster Computing"
cs0303009,1.506760854870199,Artificial Intelligence
math0303386,1.4816882521261672,Computational Complexity
cs0303021,1.1749082151474497,Logic in Computer Science
cs0303002,3.1985632720322754,Computation and Language
cond-mat0303089,0.6954610680333089,"Computational Engineering, Finance, and Science"
cs0401023,2.0985188102945953,Graphics
cs0401008,1.9983103819142685,Mathematical Software
cs0401015,1.5964746652259685,Databases
cs0401030,2.13989867935264,Cryptography and Security
cs0401022,1.2570582261665861,Programming Languages
cs0401006,1.5974549721594866,"Distributed, Parallel, and Cluster Computing"
cond-mat0401191,1.9510347008803686,Computer Science and Game Theory
cs0401024,1.2952083392803042,Programming Languages
cs0401028,1.7827019857606898,Digital Libraries
cs0401010,1.892137115096586,Networking and Internet Architecture
cs0401017,1.4790634519329533,Computer Vision and Pattern Recognition
cond-mat0401229,1.3906666219637773,"Distributed, Parallel, and Cluster Computing"
cs0401020,1.011449776611822,Neural and Evolutionary Computation
cs0401021,1.5661350700231431,Programming Languages
cs0401011,1.326223394435183,Data Structures and Algorithms
cs0401026,1.8873825186154862,Multiagent Systems
math0403107,1.4613057712896553,Discrete Mathematics
cond-mat0403341,0.8158720735874251,"Distributed, Parallel, and Cluster Computing"
cond-mat0403725,1.3854044050603178,Computational Complexity
cs0403037,1.650512130643728,Data Structures and Algorithms
cs0403044,1.7322046353079559,Logic in Computer Science
cs0403013,2.291043181042672,Operating Systems
quant-ph0403056,1.0788164683488808,Computational Complexity
cs0403014,1.7993046784004725,Databases
q-bio0403011,1.2197654185005797,Neural and Evolutionary Computation
cs0403009,1.02338195788347,Artificial Intelligence
math0403054,1.3595510940753481,Discrete Mathematics
cs0403024,1.1629516304631908,Computer Science and Game Theory
cs0403024,1.4326417194011682,Computer Science and Game Theory
cs0403003,0.8874662907966957,Neural and Evolutionary Computation
cs0403034,0.8495804921936397,Programming Languages
math0403139,1.3448100174915343,Discrete Mathematics
math0403017,2.148216990887153,Discrete Mathematics
cs0403041,1.2044392368102317,Logic in Computer Science
cs0403011,1.4635360852519772,Programming Languages
quant-ph0403069,0.9780207658033572,Cryptography and Security
cond-mat0403453,1.7936100756658349,Data Structures and Algorithms
cs0403032,1.346768171494955,Artificial Intelligence
quant-ph0403076,0.9008784942879811,Cryptography and Security
cs0403012,2.0244074285378986,Multiagent Systems
q-bio0403036,0.96002653150156,"Computational Engineering, Finance, and Science"
cs0411050,1.309913161002678,"Distributed, Parallel, and Cluster Computing"
math0411356,1.634610912141681,Discrete Mathematics
cs0411070,1.5134287343358397,Networking and Internet Architecture
cond-mat0411077,0.6643052939935528,Computational Complexity
cs0411032,2.124733372473783,Logic in Computer Science
cs0411003,1.2054107900261628,Information Theory
cs0411046,1.3650476041487576,"Distributed, Parallel, and Cluster Computing"
cs0411007,1.324319101467347,Computational Complexity
cs0411081,7.883305277807198,Networking and Internet Architecture
cs0411096,1.0920604835902257,Software Engineering
cond-mat0411079,1.1286555225751222,Computational Complexity
quant-ph0411051,0.692644379160956,Computational Complexity
cs0411051,2.6163612960716374,Networking and Internet Architecture
math0411007,1.516922800460488,Discrete Mathematics
math0411002,1.1411906936966938,Discrete Mathematics
cs0411063,1.3712716504030305,Symbolic Computation
math0411644,1.1994017166121624,Cryptography and Security
math0411145,0.9133993438946658,Discrete Mathematics
cs0411078,1.3664268011799003,Digital Libraries
cs0411052,0.8986542819567892,Neural and Evolutionary Computation
math0411056,0.835768834850541,Symbolic Computation
cs0411089,8.68628621882501,Networking and Internet Architecture
cs0411004,2.2167639844735394,Numerical Analysis
cs0411026,1.9422939726720336,Information Retrieval
cs0411076,1.5123780910726805,Computational Complexity
cs0411066,1.3762864620555675,Cryptography and Security
cs0411095,2.010706001334218,"Distributed, Parallel, and Cluster Computing"
math0411107,2.6065876217939605,Computational Complexity
nlin0411063,1.2199547853433736,Multiagent Systems
cs0411075,0.9974280397588242,Hardware Architecture
hep-ph0411100,1.0730984487942203,Mathematical Software
cs0411013,1.5374844551473053,Networking and Internet Architecture
cs0411090,1.8305936963960507,Networking and Internet Architecture
cs0411010,1.3961550060262675,Cryptography and Security
math0411138,1.760435471292982,Discrete Mathematics
nlin0411066,1.242133751206514,Artificial Intelligence
cs0411006,1.71915961899514,Information Theory
cs0411072,2.7355491953171627,Artificial Intelligence
cs0411077,1.195970888742788,Digital Libraries
cs0411071,1.9545956858242797,Artificial Intelligence
cs0411037,1.2417418100780282,Computational Complexity
cs0504089,2.3260181045950343,Information Retrieval
cs0504102,1.4226373159472923,Information Theory
cond-mat0504025,0.8891559985649217,"Computational Engineering, Finance, and Science"
cs0504063,1.3946450267619825,Machine Learning
cs0504082,1.3567542546371032,Discrete Mathematics
cs0504088,1.601653486751383,Computational Complexity
cond-mat0504070,1.3308632782947385,Computational Complexity
quant-ph0504012,1.9775640402701231,Computational Complexity
cs0504072,1.0634977458058892,Artificial Intelligence
physics0504185,1.0595880467957437,Databases
cs0504109,2.047989844821203,Software Engineering
cs0504022,1.3314310401251999,Computation and Language
cs0504023,1.4892628640886765,Data Structures and Algorithms
cs0504051,2.6580509278394957,"Distributed, Parallel, and Cluster Computing"
cs0504093,0.3338115070914281,Cryptography and Security
cs0504036,0.7566692269328132,Information Retrieval
cs0504092,2.376049174016136,Computational Complexity
astro-ph0504006,1.1447164103912681,"Computational Engineering, Finance, and Science"
cs0504079,1.9801141603559764,Information Theory
nlin0504059,2.428578697548311,Cryptography and Security
cs0504048,0.9651938319195063,Computational Complexity
cs0504027,1.2571166824612106,Logic in Computer Science
cs0504081,1.9204464533941936,Robotics
cs0504062,1.9959805893253069,Computational Complexity
cs0504105,0.8341112509223538,"Distributed, Parallel, and Cluster Computing"
math-ph0504048,1.536170526446876,Symbolic Computation
physics0504026,1.2080056732469546,Computers and Society
math0504378,1.4403801348270553,Computational Complexity
cs0504035,0.8680884382563191,Neural and Evolutionary Computation
cs0504012,0.8486446314218885,Cryptography and Security
quant-ph0504007,0.8949090759910395,Logic in Computer Science
cs0504002,0.6873465925340184,Networking and Internet Architecture
cs0504006,1.642274420943962,Information Theory
cs0504019,0.5923366578054683,Cryptography and Security
cs0511031,0.0008710405534703104,Networking and Internet Architecture
cs0511080,1.6981657296972832,Networking and Internet Architecture
cs0511051,2.4469980251623356,Information Theory
cs0511095,1.168842490525142,Information Theory
cs0511086,1.1755103639606275,Information Theory
quant-ph0511025,1.5374731228384368,Computational Complexity
cs0511102,1.648552647001916,Networking and Internet Architecture
nlin0511018,1.2637815360371385,Computational Complexity
cs0511039,2.8331713554886977,Information Theory
cs0511066,1.772106060243807,Symbolic Computation
cs0511018,0.0004758476097711378,Software Engineering
q-bio0511045,1.2487752935793015,"Distributed, Parallel, and Cluster Computing"
quant-ph0511013,1.6037770977060575,Computational Complexity
cs0511052,1.5843072580988835,Discrete Mathematics
cs0511076,1.2494692885477108,Computation and Language
cs0511092,1.9043538373718192,Programming Languages
cs0511107,2.7852917499645673,Computational Complexity
cs0511058,0.019201439318838217,Machine Learning
cs0511024,2.1707381659454343,"Computational Engineering, Finance, and Science"
cs0511063,1.5132357068959594,Cryptography and Security
cs0511094,0.7025038191145836,"Distributed, Parallel, and Cluster Computing"
cs0511060,1.577794399992095,Information Theory
cs0511012,1.4613383042729533,Networking and Internet Architecture
cs0511010,1.6912031209078433,Operating Systems
cs0511019,1.3995906196274785,Information Theory
quant-ph0511200,1.344675962815287,Computational Complexity
cs0511055,1.14238143729257,Logic in Computer Science
cs0511021,1.3738696830137338,Computer Science and Game Theory
physics0511064,1.148677995111327,Software Engineering
cs0511023,1.8751081705603807,Logic in Computer Science
cs0511002,1.0526726804579645,Information Retrieval
cs0511033,1.3768457149824473,Symbolic Computation
cs0511059,1.1475876632948117,Networking and Internet Architecture
physics0511201,1.7649807412555263,Computer Science and Game Theory
cs0511042,1.2604609038519994,Artificial Intelligence
quant-ph0511272,1.2434942531219528,Computational Complexity
cs0511025,1.1060138046633121,Logic in Computer Science
cs0511093,1.1281916931309848,Computer Science and Game Theory
cs0511061,1.1448983186229953,Logic in Computer Science
cs0511044,3.076782508608409,Data Structures and Algorithms
cs0511083,1.7258572914294092,"Distributed, Parallel, and Cluster Computing"
cs0511084,1.9265218990696251,Data Structures and Algorithms
nlin0511061,1.023195196858108,Discrete Mathematics
cs0511043,2.2339473689962013,Cryptography and Security
math0511343,1.006936546795229,Discrete Mathematics
cs0511091,1.2803427916022776,Artificial Intelligence
cs0605110,1.9508711698643797,Digital Libraries
cs0605132,1.968412417912669,Computer Science and Game Theory
cs0605015,1.7713698670934992,Computers and Society
cs0605105,1.3790756882118427,Information Theory
cs0605003,1.836590064410074,Cryptography and Security
cs0605052,1.5995528321673618,Networking and Internet Architecture
cs0605090,1.0718488449884465,Mathematical Software
cs0605070,1.1378383722534238,Robotics
cs0605106,0.9239382063092186,Logic in Computer Science
math0605610,2.3084450428355567,Computational Complexity
cs0605129,1.6864617145715806,Information Theory
cs0605126,1.1915571010596877,Data Structures and Algorithms
cs0605089,1.0816054345972737,Networking and Internet Architecture
cs0605085,1.8029293916081341,Logic in Computer Science
q-bio0605020,1.5543374930834974,Neural and Evolutionary Computation
cs0605021,0.3061781338659457,Symbolic Computation
cs0605068,0.7639296166214726,Symbolic Computation
cs0605080,1.8388588810074418,Networking and Internet Architecture
cs0605050,1.4620185413253188,Computational Complexity
quant-ph0605150,1.0020383726362982,Cryptography and Security
cs0605141,1.6329428898084026,"Distributed, Parallel, and Cluster Computing"
astro-ph0605514,1.843799112063853,Numerical Analysis
nucl-th0605001,1.1852964857977157,Numerical Analysis
math0605242,1.4097732533227267,Computational Complexity
cs0605051,1.6461202208844739,Information Theory
cs0605097,1.6120384272650734,Cryptography and Security
cs0605140,1.6928972455466564,Computational Complexity
cs0605107,1.107232217293861,Logic in Computer Science
cs0605030,1.1039942756351289,Networking and Internet Architecture
cs0605099,1.2150709683943979,Information Theory
math0605232,7.489073184650389,Cryptography and Security
cs0605124,1.2794055915749654,Databases
quant-ph0605182,0.7736252572738969,Cryptography and Security
math-ph0605049,2.1433991702799813,Computational Complexity
cs0605069,1.1924331928360221,Information Theory
quant-ph0605181,1.8076150374918558,Computational Complexity
cs0605113,1.3088007785314197,Digital Libraries
cs0605081,0.7332534865346961,Mathematical Software
cs0605039,1.9528057167880275,Hardware Architecture
cs0605008,0.991761151149379,Logic in Computer Science
cs0605082,2.560015805310838,Symbolic Computation
cond-mat0605190,1.9631058157796843,Data Structures and Algorithms
cs0605096,1.2870898520039338,"Distributed, Parallel, and Cluster Computing"
cs0605139,1.3710244767451853,Cryptography and Security
0808.4079,1.3460777996844653,Computer Science and Game Theory
0912.1588,1.1983427649879101,Multiagent Systems
1011.0492,1.9357316644630302,"Computational Engineering, Finance, and Science"
0904.2060,1.438299265745776,Computer Science and Game Theory
1111.5417,0.4888959195521015,Social and Information Networks
1111.6188,1.1351399765505905,Systems and Control
0912.1457,1.8554909736586902,Discrete Mathematics
0904.2051,2.604033553569268,Information Theory
1207.3510,1.3108546358380506,Computer Vision and Pattern Recognition
1506.01153,1.1057289510566333,Robotics
0912.1585,2.4125901556311664,Cryptography and Security
1011.0493,1.2977578969729604,"Computational Engineering, Finance, and Science"
0912.1523,1.9617305311711493,Computational Complexity
1001.2763,1.2875912373796754,Computational Geometry
0911.1647,1.6426766369560224,Human-Computer Interaction
1011.0488,1.4150285287812079,"Computational Engineering, Finance, and Science"
1207.3438,2.230572190203519,Machine Learning
1011.0496,1.398295019077607,"Computational Engineering, Finance, and Science"
1011.0496,1.0083130060976653,"Computational Engineering, Finance, and Science"
1111.5534,0.8024325346786223,Social and Information Networks
1207.3370,0.7806976485341991,Computer Vision and Pattern Recognition
1011.0498,1.694481700010209,"Computational Engineering, Finance, and Science"
1001.2781,2.315392878409148,Information Theory
0904.2028,2.1885149866909477,Networking and Internet Architecture
0808.3937,0.939588007139628,Networking and Internet Architecture
1111.6201,2.0181608462554745,Machine Learning
1111.6793,1.3775842476640323,Software Engineering
1111.6793,1.516498095151782,Software Engineering
0708.3477,1.6644240935139003,Logic in Computer Science
0911.1619,0.5773096121654911,Computer Science and Game Theory
1005.2882,1.1432327661787902,Software Engineering
0707.3170,0.9939875417088014,Logic in Computer Science
0707.3231,0.8348857288372359,Discrete Mathematics
