"category";"N";"kld";"sd";"se";"ci"
"Artificial Intelligence";5928;5,09672038656079;1,25761736691354;0,0163340706075297;0,0320207291070388
"Computation and Language";6263;5,30376082693707;1,29654078481145;0,0163830583073416;0,0321164119112165
"Computational Complexity";3221;5,92599078907863;1,17673637043486;0,0207340343825593;0,0406532416790726
"Computational Engineering, Finance, and Science";1232;5,33272727720856;1,26531049176186;0,0360488782604024;0,0707240403864484
"Computational Geometry";2229;5,56191868092094;1,20447373594886;0,0255118704115064;0,050029525554898
"Computer Science and Game Theory";2585;5,82486561448749;1,15430317249276;0,0227033328105526;0,0445185672966728
"Computer Vision and Pattern Recognition";15562;5,14992083704364;1,25422258917529;0,0100540701913589;0,0197071483312212
"Computers and Society";1465;4,96489686576465;1,2033949517798;0,0314404948546054;0,0616732252994131
"Cryptography and Security";4169;5,58572651349806;1,21164339393912;0,0187654451558297;0,0367902803051774
"Data Structures and Algorithms";5973;5,818686821876;1,14474767951005;0,0148119935574666;0,0290368588863741
"Databases";1225;5,36130891704251;1,19662675435344;0,0341893358386698;0,0670761947385895
"Digital Libraries";734;4,99869425486646;1,20711236533182;0,044555330426296;0,0874712755686619
"Discrete Mathematics";4616;6,05434638885966;1,27489944004891;0,0187647606961957;0,0367879033728675
"Distributed, Parallel, and Cluster Computing";3472;5,5839858630503;1,24437488825622;0,0211184179239679;0,0414057769720177
"Emerging Technologies";648;5,26186582694239;1,23741914180441;0,0486104147966629;0,0954532240147468
"Formal Languages and Automata Theory";1234;6,08614756824066;1,27181271601642;0,0362047525089043;0,071029735586069
"General Literature";56;4,4688925063704;1,42542953619955;0,190481034051672;0,381732522606774
"Graphics";585;5,06385276870805;1,26296645653517;0,0522172364104709;0,102556447612892
"Hardware Architecture";343;5,44537025416502;1,41411666126531;0,0763551226641013;0,150184772576703
"Human-Computer Interaction";1112;4,98446032679515;1,13146200969362;0,0339302908877914;0,0665746756886797
"Information Retrieval";1720;5,21807162743571;1,25875612040326;0,0303513051963775;0,0595293797804163
"Information Theory";19038;6,15464588376196;1,2653890582368;0,00917093073914522;0,0179758368485838
"Logic in Computer Science";3517;5,97335478473284;1,27152812887688;0,0214407408670858;0,0420375510244627
"Machine Learning";15395;4,89460438277182;1,17781680350393;0,00949265941802644;0,0186067335431498
"Mathematical Software";481;5,38310342141207;1,27999205569877;0,05836261410225;0,114677779564817
"Multiagent Systems";829;5,18750971623649;1,13850875342097;0,0395420434293929;0,0776144343675486
"Multimedia";614;5,25960405177343;1,21756812911745;0,0491370507269309;0,0964973766368217
"Networking and Internet Architecture";5013;5,92578415727685;1,24658419911151;0,0176064892324069;0,0345164202415705
"Neural and Evolutionary Computation";2241;4,82370060523537;1,27276672843151;0,0268861047022584;0,0527242857510237
"Numerical Analysis";1673;5,53961766750209;1,1705786096703;0,0286188786647848;0,0561326054801135
"Operating Systems";136;5,68760668666158;1,32210945256239;0,113369950258993;0,224210875098208
"Other";479;5,09435991586335;1,16562260357977;0,0532586561515109;0,104650025027547
"Performance";579;5,71655617172751;1,21325453780013;0,0504211378880773;0,0990309832098672
"Programming Languages";1147;5,70096438928161;1,31220446018381;0,0387453689369391;0,0760198156648886
"Robotics";2734;5,09632160818311;1,21660185223681;0,0232674729779698;0,0456236142416886
"Social and Information Networks";5224;5,41555979322805;1,18222846844608;0,0163568559486404;0,0320662794881399
"Software Engineering";1751;5,39410215299569;1,33063782836561;0,0317992438218262;0,0623685084809151
"Sound";1064;5,28346591491924;1,21394063603698;0,0372157379876837;0,0730246526094541
"Symbolic Computation";885;5,74143267631219;1,2436172619444;0,0418037369481692;0,0820461530155074
"Systems and Control";4517;5,67255157901809;1,13299276089758;0,0168578462942187;0,0330496294151109
