"category" "N" "kld" "sd" "se" "ci"
"Artificial Intelligence" 2247 2.53588940237794 0.878794507021107 0.0185389783576371 0.0363553215171011
"Computation and Language" 882 2.42590860060734 0.852124429451679 0.0286925220228571 0.0563136746741558
"Computational Complexity" 1830 2.65780739555283 0.935573142858661 0.0218701721371968 0.0428931344959245
"Computational Engineering, Finance, and Science" 476 2.41766629241793 0.873362979429393 0.0400305265301503 0.0786588146727678
"Computational Geometry" 1073 2.53145474731855 0.900974978530356 0.0275050772562469 0.0539698955003863
"Computer Science and Game Theory" 1457 2.3603376870623 0.791091413414253 0.0207251124099431 0.0406542690838878
"Computer Vision and Pattern Recognition" 2012 2.27599192459473 0.79565963080213 0.01773835473408 0.0347874738162009
"Computers and Society" 464 2.12915981469597 0.894191284871355 0.0415117882597897 0.0815748513420532
"Cryptography and Security" 1532 2.41303594971548 0.890717912330873 0.0227567796019245 0.0446377572756051
"Data Structures and Algorithms" 3653 2.71702364794676 0.91526824110559 0.01514340568063 0.0296903698173571
"Databases" 763 2.56312084043213 0.931370470228893 0.0337178749164093 0.0661909556241423
"Digital Libraries" 299 2.22752031548482 0.864940304497535 0.0500207893350351 0.098438737831989
"Discrete Mathematics" 2024 2.70505606518284 0.981071034242159 0.0218069636390904 0.0427664503300893
"Distributed, Parallel, and Cluster Computing" 1741 2.58032798451266 0.914076511738367 0.0219070128919802 0.0429668441684306
"Emerging Technologies" 135 2.40137390613449 0.885284873288802 0.076193190464375 0.150696854691278
"Formal Languages and Automata Theory" 630 2.59791175351235 0.8900002360626 0.0354584581485461 0.0696312856902157
"Graphics" 179 2.34566226339779 0.862889283681748 0.0644953731783319 0.127273936829944
"Hardware Architecture" 132 2.38195836525354 0.858373483736114 0.0747118219916545 0.14779780560001
"Human-Computer Interaction" 309 2.36205896779973 0.8844482918822 0.0503145053947429 0.0990036512394961
"Information Retrieval" 775 2.28000211026233 0.844239348075761 0.0303259726188069 0.0595309047617411
"Information Theory" 8616 2.44714301748067 0.89092362576657 0.00959815216318544 0.0188146759201582
"Logic in Computer Science" 1768 2.71364060722192 1.00719538633975 0.0239536995209008 0.0469805688634215
"Machine Learning" 2770 2.50149840329337 0.844225472628842 0.0160405245896214 0.0314525987122568
"Mathematical Software" 257 2.64453839975047 0.904463034392927 0.0564188539761449 0.111104176019519
"Multiagent Systems" 452 2.48664926569547 0.796621277880291 0.0374699130150199 0.0736372936862951
"Multimedia" 248 2.41303968417357 0.872626583177373 0.0554118434436343 0.109139984458487
"Networking and Internet Architecture" 2684 2.48430427142578 0.911546808506587 0.017594937120015 0.0345010071650429
"Neural and Evolutionary Computation" 716 2.37903280911207 0.824010007653387 0.0307946998249466 0.0604588453662528
"Numerical Analysis" 469 2.58793369309269 0.893125123011267 0.0412406863648265 0.0810398396681189
"Operating Systems" 94 2.29908223642321 0.881858478038972 0.0909567570442839 0.180622093165551
"Performance" 399 2.50738515966518 0.8733644817891 0.0437229119306583 0.0859567230919679
"Programming Languages" 693 2.8134025705018 1.09951363546477 0.0417670692409323 0.0820053812172069
"Robotics" 488 2.3815289244644 0.795188039974609 0.0359964712215947 0.0707275621252125
"Social and Information Networks" 1333 2.28420936378869 0.834711122993407 0.0228623635272734 0.0448501630228678
"Software Engineering" 768 2.57945718555902 1.03485054638463 0.0373419525953874 0.0733045573200754
"Sound" 109 2.36942753395492 0.857358994835245 0.0821200981123983 0.162776280925025
"Symbolic Computation" 404 2.55032337738658 0.868568400461724 0.0432128930350309 0.0849508406540773
"Systems and Control" 1074 2.50471081268607 0.765129373349728 0.0233470887486589 0.0458111279213514
