"category" "N" "kld" "sd" "se" "ci"
"Artificial Intelligence" 2250 2.5416770207251 0.876625668345598 0.0184808917822631 0.0362413864709516
"Computation and Language" 887 2.42170252665451 0.852533012861509 0.0286252570577455 0.0561812202374823
"Computational Complexity" 1849 2.65887344179453 0.935475323052086 0.0217552400709788 0.0426674321298127
"Computational Geometry" 1069 2.528461055156 0.90074852601637 0.0275495625678647 0.0540574125053707
"Computational Science" 487 2.42691287595319 0.873253987745035 0.0395709153950275 0.0777511969629214
"Computer Vision" 2032 2.27559185965206 0.79592205132895 0.0176566653308642 0.0346270637573112
"Computers and Society" 486 2.12026265072615 0.891250531606717 0.0404279451003835 0.0794355468085003
"Cryptography and Security" 1543 2.41569317390856 0.890378256177488 0.0226668714991809 0.0444611502768792
"Data Structures and Algorithms" 3653 2.71775462138796 0.915342994778387 0.0151446425040468 0.0296927947503886
"Databases" 768 2.55840122910829 0.929892407385845 0.0335546019826004 0.0658697543494198
"Digital Libraries" 310 2.22952949617038 0.857284405831575 0.0486904823607506 0.0958068445351896
"Discrete Mathematics" 2032 2.70408699625761 0.981800451755944 0.021780175545333 0.0427138144786233
"Distributed Computing" 1744 2.58390067931348 0.915222675669314 0.0219156083896625 0.0429836512637361
"Emerging Technologies" 136 2.42357863973239 0.919227246661932 0.0788230861134826 0.155887808674798
"Evolutionary Computing" 734 2.38082217895879 0.816572183426325 0.0301402292730892 0.0591714678182043
"Formal Languages" 631 2.59854740713607 0.88943694378873 0.0354079256614304 0.0695318401186851
"Game Theory" 1458 2.3610812975912 0.79149691523981 0.0207286235575668 0.0406611333142604
"Graphics" 179 2.33614063420604 0.871150621380493 0.0651128545492435 0.128492462766336
"Hardware Architecture" 131 2.39890036069764 0.874759756137846 0.0764281147541456 0.151203884654857
"Human-Computer Interaction" 314 2.35893709942165 0.88182200383659 0.0497640946474866 0.0979144402034389
"Information Retrieval" 781 2.28866127644243 0.849073217027404 0.0303822284438691 0.0596406183340925
"Information Theory" 8633 2.44738702997999 0.891463347994936 0.00959450606349171 0.0188075234873069
"Logic" 1763 2.71635728825248 1.00853733852599 0.024019603017093 0.0471099175114308
"Machine Learning" 2780 2.49868559820334 0.845354962073345 0.0160330707227059 0.0314379335428754
"Mathematical Software" 258 2.63954907967665 0.906089152634221 0.0564106466572091 0.111085960584165
"Multiagent Systems" 466 2.50179181938963 0.800444883451253 0.0370798931968801 0.0728649091381777
"Multimedia" 251 2.39947521178087 0.853884726875989 0.0538967260494821 0.106149515365115
"Networking and Internet" 2690 2.48734705614375 0.912349893333282 0.0175907876348768 0.0344928359175234
"Numerical Analysis" 475 2.58162652196682 0.896555301581419 0.0411367784935688 0.0808330030623848
"Operating Systems" 92 2.31952748415772 0.8783621868871 0.0915755883643272 0.181903656629343
"Performance" 397 2.50902968612163 0.874240088980148 0.0438768523166736 0.0862606898004441
"Programming Languages" 688 2.81654897690216 1.09832398937656 0.0418732095354819 0.0822148252134149
"Robotics" 489 2.38517360025409 0.800287638649975 0.0361902580010692 0.0711079604993381
"Social Networking" 1379 2.27773991512773 0.832514921779047 0.0224186725334384 0.0439784185560775
"Software Engineering" 771 2.5796026186669 1.03905290042493 0.0374205761573764 0.0734584478945133
"Sound" 112 2.36906457182644 0.849696494737189 0.0802887719627823 0.159097561487817
"Symbolic Computation" 405 2.55384076714471 0.867723565872278 0.043117530643754 0.0847627388206681
"Systems and Control" 1080 2.50595406779008 0.76517628169641 0.0232835727751695 0.0456862114361197
